source,target
ইউনান প্রদেশ,কুনমিং শহর <OR> কুনমিং
ওয়ারি ডোমেইন,নাগোয়া
কুয়েত,কুয়েত শহর <OR> কুয়েত সিটি
বেনু-প্লেটো,জোস
ডুপলিন কাউন্টি,"কেনানসভিলล์ <OR> কেনানসভিল, নর্থ ক্যারোলিনা"
চরাইদেও,আহোম <OR> আহোম রাজ্য <OR> অসম
উত্তর অবলাস্ট (১৯৩৬–৩৭),আর্কানজেলস্ক
বেলগ্রেড অবলাস্ট,বেলগ্রেড
হান্ট কাউন্টি,"গ্রিনভিল, টেক্সাস। <OR> গ্রিনভিল"
কোশোকটন কাউন্টি,"কোশোকটন <OR> কোশোকটন, ওহাইও।"
"কেননেবেক কাউন্টি, মেইন","অগাস্টা, মেইন। <OR> অগাস্টা"
রোসারিও বিভাগ,রোজারিও
রোমান ক্যাথলিক ডায়োসিস অফ সুবোটিকা,সুবোটিকা
ল্যান্ডস্ক্রোনা পৌরসভা,ল্যান্ডস্ক্রোনা
छत्तीसगढ़,রায়পুর
ফ্রিজিয়া,লিউওয়ার্ডেন
বোলজানো,বোঝেন।
কামরূপ,গুয়াহাটি
হিমাচল প্রদেশ,শিমলা <OR> শিমলা <OR> শিমলা পাহাড়
পোলিশ সেনাবাহিনী,ওয়ারশ
"ক্রিক কাউন্টি, ওকলাহোমা",সাপুল্পা
রিমিনি প্রদেশ,রিমিনি
হাইনান দ্বীপ,হাইকৌ
গমিনা ডবচিচে,ডবচিজে
উইচিতা কাউন্টি,"উইচিতা ফলস, টেক্সাস। <OR> উইচিতা ফলস"
ক্লারমন্ট কাউন্টি,"বাতাভিয়া, ওহাইও। <OR> বাতাভিয়া"
জনপ্রিয় ফ্রন্ট,মাদ্রিদ
মেট্রোপলিটন বরো অফ উইরাল,ওয়ালাসি
লৌখস্কি জেলা,লৌখিক
মিজহির্যা জেলা,মিজহির্যা
আদিগেহা,মায়কোপ
স্টারিয়া দারোহি রায়ন,স্টারিয়া দারোহি।
"সায়োটো কাউন্টি, ওহাইও","পোর্টসমাউথ <OR> পোর্টসমাউথ, ওহাইও।"
পোলটস্ক,পোলটস্ক
খোস্ট প্রদেশ,খোস্ট শহর <OR> খোস্ট
ক্যালডওয়েল প্যারিশ,"কলম্বিয়া, লুইজিয়ানা। <OR> কলম্বিয়া"
বালরামপুর জেলা,বলরামপুর
ক্রেভেন,স্কিপটন <OR> স্কিপটন-ইন-ক্রেভেন
আরওসি,তাইপেই
সেলাঙ্গার,সুন্দসভাল
হাল্মস্টাড পৌরসভা,হালমস্টাড
পূর্ব পাকিস্তান,ঢাকা <OR> ঢাকা
ইন্দ্রামায়ু রেজেন্সি,ইন্দ্রাময়ু
মাহশাহর কাউন্টি,মাহশাহর <OR> বান্দর মাহশাহর <OR> বান্দর মশুর
তোসনেনস্কি,তোসনেনস্কোয়ে
"মর্গান কাউন্টি, পশ্চিম ভার্জিনিয়া।","বার্কলে স্প্রিংস <OR> বার্কলে স্প্রিংস, ওয়েস্ট ভার্জিনিয়া।"
তানারো (বিভাগ),অস্তি।
লাঘমান প্রদেশ,মেহতার লাম। <OR> মিহ্তারলম।
ট্যাকনা প্রদেশ,ট্যাকনা
পের্ম অঞ্চল,পারম
এগিরোস,কোমোটিনি
"খোলমস্কি জেলা, সাখালিন অঞ্চল।",খোলমস্ক।
ড্যানিশ সরকার,কোপেনহেগেন
অ্যাপলিং কাউন্টি,ব্যাক্সলে
কুবা জেলা (আজারবাইজান),কুবা
ভিয়েতনাম,হানয় <OR> হ্যানয় <OR> হাঁ নোই <OR> থăng লং <OR> হানয়
আমাস্যা প্রদেশ,আমাসেইয়া
তাং চীন,চাং'an
ভালগা।,"ভালগা। <OR> ভালগা, এস্তোনিয়া।"
মিন্স্ক গভর্নরেট,মিন্স্ক
দক্ষিণ-পূর্ব সুলাওসি,কেন্দারি
"স্কট কাউন্টি, কেনটাকি","জর্জটাউন <OR> জর্জটাউন, কেনটাকি।"
কার্ভার কাউন্টি,চাস্কা
কালামাজু কাউন্টি,"কালামাজু, মিশিগান। <OR> কালামাজু"
"ম্যাককোন কাউন্টি, মন্টানা","বৃত্ত <OR> সার্কেল, মন্টানা।"
বাইজেন্টাইন,কনস্ট্যান্টিনোপল <OR> ইস্তাম্বুল
থেনন ক্যান্টন,থেনন।
হেভেস কাউন্টি (প্রাক্তন),এগার।
স্যাক্স-গোথা,গোথা।
আরএস।,পোর্টো আলেগ্রে
ভাদস্টেনা পৌরসভা,ভাদস্টেনা
নাকাসংগোলা জেলা,নাকাসংগোলা
পিয়াট কাউন্টি,"মন্টিসেলো <OR> মন্টিসেলো, ইলিনয়"
টেবিলল্যান্ডস অঞ্চল,মালন্দা
ক্রেমেনেতস জেলা,ক্রেমেনেটস।
ফরাসি সাম্রাজ্য,প্যারিস
তিখভিনস্কি জেলা,টিখভিন
পাইপস্টোন কাউন্টি,"পাইপস্টোন <OR> পাইপস্টোন, মিনেসোটা।"
রেনফ্রিউশায়ার কাউন্সিল এলাকা,পেইজলি
ভিয়েনা-পরিবেশ,ক্লোস্টারনিউবুর্গ
জেলফা প্রদেশ,জেলফা
"ডাকোটা কাউন্টি, নেব্রাস্কা",ডাকোটা সিটি
হিন্দু শাহি,কাবুল
রোন-এট-লোয়ার,লিওঁ
নর্ড-কিভু,গোমা
বিতোলা পৌরসভা,বিতোলা
টিখোরেটস্কি জেলা,টিখোরেতস্ক
সাইতামা প্রিফেকচার,"সাইতামা, সাইতামা। <OR> সাইতামা"
ডিকির্চ জেলা,ডাইকির্চ
রাসট্যাট (জেলা),রাসট্যাট
লোকন্যান্সকি জেলা,লোকন্যা
ব্রেসুইর এর আরন্ডিসমেন্ট,ব্রেসুইর
উত্তর নরফোক,ক্রোমার
গ্রানমা প্রদেশ,বায়ামো
"সান অগাস্টিন কাউন্টি, টেক্সাস",সান অগাস্টিন
উমাইয়াদ,দমিশ্ক
