source,target
গবোকো,নাইজেরিয়ান <OR> নাইজেরিয়া
"দক্ষিণ বিশ্ববিদ্যালয়, বাংলাদেশ",বাংলাদেশ
ভ্যারাইটি (ম্যাগাজিন),আমেরিকান
"আর্থার টাউনশিপ, কানাবেক কাউন্টি, মিনেসোটা।",মার্কিন যুক্তরাষ্ট্র
"হাওয়ার্ড কাউন্টি, মিসৌরি",মার্কিন যুক্তরাষ্ট্র <OR> মার্কিন যুক্তরাষ্ট্র
শামুলেহ,ফারসি <OR> ইরান
ওয়াদি ফিরা অঞ্চল,চাদ
লারবেক,নেদারল্যান্ডস <OR> ডাচ
রিচমন্ড রেসিডেনশিয়াল কলেজ,মার্কিন যুক্তরাষ্ট্র
আইএইচসি,মার্কিন যুক্তরাষ্ট্র <OR> আমেরিকান <OR> মার্কিন যুক্তরাষ্ট্র
ড্যাক্সেন,সুইজারল্যান্ড
"লিনউড, ভার্জিনিয়া বিচ, ভার্জিনিয়া।",মার্কিন যুক্তরাষ্ট্র
হায়াথনগর,ভারত
অস্ট্রোউক ডুজি,পোল্যান্ড
"লেসোথো সাধারণ নির্বাচন, ২০১২",লেসোথো
আলামুচি-বেল্লামি আবৃত সেতু,মার্কিন যুক্তরাষ্ট্র <OR> ঐক্য
পশ্চিম কুইন্সি,মার্কিন যুক্তরাষ্ট্র
"জাওরি, পোমেরানিয়ান ভয়ভোদশিপ।",পোল্যান্ড
ভেসিজাকো কঠোর প্রাকৃতিক সংরক্ষণ এলাকা,ফিনল্যান্ড
ব্যারিংটন কলেজ,আমেরিকান
চায়াগাসকা স্টেশন,জাপান
"ওয়িয়ার্সডেল, ফ্লোরিডা।",মার্কিন যুক্তরাষ্ট্র
ক্যাম্প রোনোক,মার্কিন যুক্তরাষ্ট্র
চাওপি চাওপি।,পেরু
কনসেকো ফিল্ডহাউস,মার্কিন যুক্তরাষ্ট্র <OR> মার্কিন যুক্তরাষ্ট্র
আর্টো টলসা অ্যারেনা,ফিনিশ <OR> ফিনল্যান্ড
"তুমেন, জিলিন।",চীন
কাস্টেলনুভো ডি ফারফা,ইতালীয়
অ্যাটউড,মার্কিন যুক্তরাষ্ট্র <OR> আমেরিকান
গোলেশোভো,বুলগেরিয়া
বিডামিন,ফারসি <OR> ইরান
এডিএ,ভারত <OR> মার্কিন যুক্তরাষ্ট্র <OR> আমেরিকান <OR> মার্কিন যুক্তরাষ্ট্র <OR> মার্কিন যুক্তরাষ্ট্র
পাসো ডেল সেরো,উরুগুয়ে
এমারসন স্ট্রিং কোয়ার্টেট,আমেরিকান
"সিনসিক, হায়মানা।",তুরস্ক
সাদা সমতল,মার্কিন যুক্তরাষ্ট্র <OR> আমেরিকান <OR> মার্কিন যুক্তরাষ্ট্র
ব্রিগস আইলেট,অস্ট্রেলিয়া
মস্কো সাম্রাজ্যিক বলশয় থিয়েটার,রাশিয়া
ইস্ট ইয়র্ক টাউন সেন্টার,কানাডা
আর্থার রেঞ্জ,অস্ট্রেলিয়া
"ডেরেকয়, কুইউজাক।",তুরস্ক
অ্যাকোম্যাক কাউন্টি বিমানবন্দর,মার্কিন যুক্তরাষ্ট্র
এনকোন্যা,ঘানা
ইউরোপীয় রুট E571,স্লোভাকিয়া
কাজার বরানি,ফারসি <OR> ইরান
মিয়েস্কি ডভর,পোল্যান্ড
ত্রজপিওলি।,পোল্যান্ড
আরকে জামেত।,ক্রোয়েশিয়া
টিনলে পার্ক,মার্কিন যুক্তরাষ্ট্র
কাশি বিশ্বনাথ মন্দির,ভারত
জিজিনাশ নদী,রোমানিয়া
স্টোন সিটি ঐতিহাসিক জেলা,মার্কিন যুক্তরাষ্ট্র
"সোবরাডো, প্যারাইবা।",ব্রাজিল
আলতে অপের,জার্মানি
"রাজধানী বৃত্ত (টাল্লাহাসি, ফ্লোরিডা)",মার্কিন যুক্তরাষ্ট্র
হুয়ানুকোর রোমান ক্যাথলিক ডায়োসিস,পেরু
"উইটমারসাম, সান্তা ক্যাটারিনা।",ব্রাজিল
"সিরাকিউজ, মিসৌরি",মার্কিন যুক্তরাষ্ট্র
মার্শলসী,সুইজারল্যান্ড
কানাডিয়ান এইডস সোসাইটি,কানাডা
ডলার,ঐক্য <OR> মার্কিন যুক্তরাষ্ট্র <OR> আমেরিকান <OR> মার্কিন যুক্তরাষ্ট্র <OR> মার্কিন যুক্তরাষ্ট্র <OR> জিম্বাবুয়ে <OR> মার্কিন যুক্তরাষ্ট্র <OR> কানাডা
গতি ঘন,ফিলিপাইনস
"স্কর্টেনি, বাকাউ।",রোমানিয়া
উইস্ক'আচানি (ওরুরো),বলিভিয়া
মেরি প্র্যাঙ্কস্টারস,মার্কিন যুক্তরাষ্ট্র
লহোতা পড হোরিচকামি,চেক প্রজাতন্ত্র
লোরেগগিয়া,ইতালীয় <OR> ইতালি
ড. আর্চিবাল্ড নীল সিনক্লেয়ার হাউস,আমেরিকান
বড় খান মসজিদ,ইউক্রেন
মাদাওলা মাদিগে।,শ্রীলঙ্কা
ইন্ডাইবিরা,ব্রাজিল
"চেস্টারটন, ইন্ডিয়ানা।",মার্কিন যুক্তরাষ্ট্র
লাসভা,এস্তোনিয়া
"ট্রুরো চার্চ (ফেয়ারফ্যাক্স, ভার্জিনিয়া)",মার্কিন যুক্তরাষ্ট্র
এল্ক লেক (সওটুথ বন্য এলাকা),মার্কিন যুক্তরাষ্ট্র
নর্ডক্লফজেলেট,নরওয়ে
ম্যানিটোবা শ্রম প্রতিনিধিত্ব কমিটি,কানাডা
সতর্কতা।,পেরু
পাড়া উরসুলুই (তাজলাউল সারাত),রোমানিয়া
লুবě।,চেক প্রজাতন্ত্র
ক্রাসনোগোরোদস্কি জেলা,রাশিয়া
টেড টকস,আমেরিকান
নওশেরো,পাকিস্তান
ভিলা গাম্বেরাইয়া,ইতালি
বোলজানো,ইতালীয় <OR> ইতালি <OR> ইতালি
নবন জেলা,পেরু
বার্গ সোমেরেগ,অস্ট্রিয়া
শারাবণ ক্ষেত্র,ভারত
হ্যামবার্গার স্ট্রাসে (হ্যামবার্গ ইউ-বান স্টেশন),জার্মানি
"সান টেলমো, বুয়েনোস আইরেস",আর্জেন্টিনা <OR> আর্জেন্টিনা
"ব্র্যাডলে, উইসকনসিন।",মার্কিন যুক্তরাষ্ট্র
"সুলতান মাসতুরা, মাগুইন্দানাও।",ফিলিপাইনস
এস স্পিডওয়ে,আমেরিকান
"হুইটলি টাউনশিপ, মুলট্রি কাউন্টি, ইলিনয়",মার্কিন যুক্তরাষ্ট্র
প্রেমনিটজ,জার্মানি
"শুরাকেন্দ, খিজি।",আজারবাইজান
"কোটা ব্রিজ, ক্লাং।",মালয়েশিয়া
"লিটল চুট, উইসকনসিন।",মার্কিন যুক্তরাষ্ট্র
আগিন-বুরিয়াত স্বায়ত্তশাসিত ওক্রুগ,রাশিয়া
"স্টুটগার্ট, আরকানসাস।",মার্কিন যুক্তরাষ্ট্র <OR> মার্কিন যুক্তরাষ্ট্র
আর্হুসকার্লশাম্ন,ডেনমার্ক
হেনড্রিক্স কাউন্টি,মার্কিন যুক্তরাষ্ট্র <OR> ঐক্য
এবারডেয়ার জাতীয় উদ্যান,কেনিয়া
"সেলিমিয়ে, ডোশেমাল্টি।",তুরস্ক
প্যারাডাইস ভ্যালি,মার্কিন যুক্তরাষ্ট্র <OR> ঐক্য <OR> আমেরিকান
ব্রাসেলস ট্রাম রুট ৫১,বেলজিয়াম
"একিন, ইন্ডিয়ানা।",মার্কিন যুক্তরাষ্ট্র
তাশকেন্ট মেট্রো,উজবেকিস্তান
"মিলভারটন, অন্টারিও",কানাডা
হেম্পস্টেড কাউন্টি,মার্কিন যুক্তরাষ্ট্র
৩৩২নদ ইঞ্জিনিয়ার জেনারেল সার্ভিস রেজিমেন্ট।,মার্কিন যুক্তরাষ্ট্র
২০১৩ গণভোট,ক্রোয়েশিয়া
টুপু ইনকা।,পেরু
টারডেটস-সোরহোলাস,ফ্রান্স
গুয়ানা,ভেনেজুয়েলা
"বারগনি, অইজ",ফ্রান্স
ভারতু,ফ্রান্স
কাবলুক,কেনিয়া
এএসবি গ্রুপ,আইরিশ <OR> আয়ারল্যান্ড
"টিলডেন, টেক্সাস।",মার্কিন যুক্তরাষ্ট্র <OR> মার্কিন যুক্তরাষ্ট্র
বেড়া।,জার্মানি
"মাজারেহ নও, আশতিয়ান।",ফারসি <OR> ইরান
কাগে।,সুইডেন
