source,target
Yunnan Provinz,Kunming Stadt <OR> Kunming
Owari-Domäne,Nagoya
Kuwait,Kuwait-Stadt <OR> Kuwait-Stadt
Benue-Plateau,Jos
Duplin County,"Kenansville <OR> Kenansville, North Carolina"
Charaideo,Ahom <OR> Ahom-Königreich <OR> Assam
Nördliche Oblast (1936–37),Archangelsk
Belgrader Oblast,Belgrad
Jagdbezirk,"Greenville, Texas <OR> Greenville"
Coshocton County,"Coshocton <OR> Coshocton, Ohio"
Kennebec County Maine,"Augusta, Maine <OR> Augusta"
Departamento Rosario,Rosario
Römisch-katholisches Bistum Subotica,Subotica
Landskrona Kommun,Landskrona
Chhattisgarh,Raipur
Friesland,Leeuwarden
Bozen,Bozen
Kamarupa,Guwahati
Himachal Pradesh,Shimla <OR> Shimla <OR> Shimla Hügel
Polnische Armee,Warschau
Creek County Oklahoma,Sapulpa
Provinz Rimini,Rimini
Hainan Insel,Haikou
Gemeinde Dobczyce,Dobczyce
Wichita County,"Wichita Falls, Texas <OR> Wichita Falls"
Clermont County,"Batavia, Ohio <OR> Batavia"
Volksfront,Madrid
Metropolitan Borough of Wirral,Wallasey
Loukhsky Bezirk,Loukhi
Mischhirja Rajon,Mischhirja
Adygeja,Maikop
Staryja Darohi Rajon,Alte Straßen
Scioto County Ohio,"Portsmouth <OR> Portsmouth, Ohio"
Polozk,Polozk
Provinz Chost,Khost Stadt <OR> Chost
Caldwell Parish,"Columbia, Louisiana <OR> Kolumbien"
Balrampur Distrikt,Balrampur
feige,Skipton <OR> Skipton-in-Craven
ROC,Taipeh
Selånger,Sundsvall
Halmstads Kommun,Halmstad
Ostpakistan,Dhaka <OR> Dhaka
Regierungsbezirk Indramayu,Indramayu
Landkreis Mahshahr,Mahshahr <OR> Bandar-e Mahschahr <OR> Bandar Maschur
Tosnenski,Tosnenskoje
Morgan County West Virginia,"Berkeley Springs <OR> Berkeley Springs, West Virginia"
Tanaro (Departement),Asti
Provinz Laghman,Mehtar Lam <OR> Mihtarlam
Provinz Tacna,Tacna
Region Perm,Perm
Schwarz-Pappel,Komotini
Cholmski Rajon Oblast Sachalin,Cholmsk
Dänische Regierung,Kopenhagen
Appling County,Baxley
Quba Rayon (Aserbaidschan),Kuba
Vietnam,Hanoi <OR> Hanoi <OR> Hanoi <OR> Thăng Long <OR> Hanoi
Amasya Provinz,Amaseia
Tang-Dynastie China,Chang'an
Valga,"Valga <OR> Valga, Estland"
Gouvernement Minsk,Minsk
Südost-Sulawesi,Kendari
Scott County Kentucky,"Georgetown <OR> Georgetown, Kentucky"
Carver County,Chaska
Kalamazoo County,"Kalamazoo, Michigan <OR> Kalamazoo"
Mccone County Montana,"Kreis <OR> Kreis, Montana"
Byzantinisch,Konstantinopel <OR> Istanbul
Kanton Thenon,Thenon
Heves Komitat (ehemalig),Eger
Sachsen-Gotha,Gotha
RS,Porto Alegre
Vadstena Kommun,Vadstena
Nakasongola Distrikt,Nakasongola
Piatt County,"Monticello <OR> Monticello, Illinois"
Hochlandregion,Malanda
Krementschuk Rajon,Kremenetz
Französisches Kaiserreich,Paris
Tichwiner Bezirk,Tichwin
Pipestone County,"Pfeifenstein <OR> Pipestone, Minnesota"
Renfrewshire Council-Gebiet,Paisley
Wien-Umgebung,Klosterneuburg
Provinz Djelfa,Djelfa
Dakota County Nebraska,Dakota-Stadt
Hindu Shahi,Kabul
Rhône-und-Loire,Lyon
Nord-Kivu,Gummi
Gemeinde Bitola,Bitola
Tichorezki Rajon,Tichorezk
Präfektur Saitama,"Saitama, Saitama <OR> Saitama"
Bezirk Diekirch,Diekirch
Rastatt (Landkreis),Rastatt
Loknjanski Rajon,Loknya
Arrondissement von Bressuire,Bressuire
Nord-Norfolk,Cromer
Provinz Granma,Bayamo
San Augustine County Texas,San Augustin
Umayyaden,Damaskus
Jammu,Srinagar
Irion County,Mertzon
Trans-Nzoia,Kitale
Cabell County West Virginia,"Huntington, West Virginia <OR> Huntington"
Gemeinde Gorzkowice,Gorzkowice
Saky Rajon,Saky
Gouvernement Musandam,Khasab
Nadvirna Rajon,Nadworna
Larvotto,Monaco
Hennepin County Minnesota,"Minneapolis, Minnesota <OR> Minneapolis, MN <OR> Minneapolis"
Kanton Souvigny,Souvigny
Oberes Minho,Viana
Provinz Rieti,Rieti
Accomack County,"Accomac <OR> Accomac, Virginia <OR> Drummondtown"
Enugu Bundesstaat,Enugu
Ceredigion,Aberystwyth <OR> Aberaeron <OR> Aberaeron
Departamento de Putumayo,Mocoa
Var (Abteilung),Toulon
Arrondissement von Guingamp,Guingamp
Tanintharyi-Division,Dawei <OR> Dawei
Gemeinde Kazimierza Wielka,Kazimierza Wielka
Torres-Strait-Inselregion,Donnerstaginsel
Kadschar,Teheran
Äthiopien,Addis Abeba <OR> 10 Vorstädte <OR> Gonder <OR> Addis Abeba <OR> Addis Abeba
Adygeischer Autonomer Oblast,Krasnodar <OR> Maikop
Krähenflügelkreis,"Brainerd, MN <OR> Brainerd"
Misrata,Misurata
Ecuadorianer,Quito
Indo-Parthisches Königreich,Taxila
Kapellen (Kanton),Kapellen
Region Diourbel,Diourbel
Cesar-Abteilung,Valledupar
Bullock County Alabama,Union Springs
Uttar Pradesh,Lucknow <OR> Mohanlalganj
Sankt Georgs Pfarrei St. Vincent und die Grenadinen,Kingstown
China VR China,Peking
Kronleuchter,Khajuraho
Westpakistan,Peschawar
Oblast Sachalin,Toyohara <OR> Juschno-Sachalinsk
Japanisches Kaiserreich,Tokio
Torrance County,Estancia-Tal
Provinz Centro Sur,Evinayong
Sivaganga Distrikt,Sivagangai <OR> Sivaganga
Columbia County Pennsylvania,"Bloomsburg <OR> Bloomsburg, Columbia County"
Annam,Hanoi
Französisches Königreich,Paris
Spanische Kolonialzeit,Mexiko-Stadt
Gemeinde Bengtsfors,Bengtsfors
Winston County,Doppelte Federn
Kabbala,Gabala
Königreich Khotan,Hotan
Isanti.,"Cambridge <OR> Cambridge, Minnesota"
Mpigi Distrikt,Mpigi
Burkinabé,Ouagadougou
Kanton Saintes-Maries-de-la-Mer,Saintes-Maries-de-la-Mer
Kasachischer Ujesd,Qazax
Nyandomski Rajon,Nyandoma
Rhône-Alpes,Lyon
Stellenbosch Gemeinde,Stellenbosch
Dane County Wisconsin,"Madison <OR> Madison, Wisconsin"
Pamlico County North Carolina,Bayboro
Spanische Zweite Republik,Madrid
Sarlahi,Malangwa
Rakvere Gemeinde,Rakvere
Nord-Lanarkshire-Rat,Mutterwohl
Kastilisch,Burgos
Nye County,"Tonopah <OR> Tonopah, Nevada"
Benin,Porto Novo
Osterinsel,Hanga Roa
Nazi-Deutsch,Berlin
Thüringen,Erfurt
Kirschbezirk,"Valentin <OR> Valentine, Nebraska"
Jekaterinoslaw,Dnipropetrowsk
Verchnodniprowsk Rajon,Oberdnjeprowsk
Größeres Accra,Accra
Metropolregion Vigo,Vigo
Nordbanater Bezirk,Kikinda
Woodford County,"Versailles, Kentucky <OR> Versailles"
Präfektur Argolis und Korinthia,Nafplio
Wexford County,"Cadillac, Michigan <OR> Cadillac, MI <OR> Cadillac"
Brüsseler Hauptstadtregion,Brüssel
Singhasari-Königreich,Malang
Südkurdistan,Erbil
Melbourne,Zentralgeschäftsviertel <OR> Melbourne Zentrum <OR> CBD <OR> Melbourne Zentralgeschäftsviertel <OR> Melbourne Stadtzentrum <OR> Melbourne Stadtzentrum <OR> Zentraler Geschäftsbezirk
Provinz Huaraz,Huaraz
Mwanza-Region,Mwanza
Bay County Michigan,"Buchtstadt <OR> Bay City, MI"
Pest,Budapest
Landkreis Neu-Ulm,Neu-Ulm
Vereinigte Arabische Emirate,"Abu Dhabi <OR> Abu Dhabi Stadt <OR> Abu Dhabi, Vereinigte Arabische Emirate"
Rukungiri Distrikt,Rukungiri
Österreich-Ungarn,Budapest
Glaskower Bezirk,Glazow
Westneubritannien Provinz,Kimbe
