source,target
Gboko,Nigerianer <OR> Nigeria
Südliche Universität Bangladesch,Bangladesch
Variety (Zeitschrift),Amerikanisch
Arthur Township Kanabec County Minnesota,Vereinigte Staaten
Howard County Missouri,Vereinigte Staaten <OR> USA
Shamuleh,Persisch <OR> Iran
Region Wadi Fira,Tschad
Laarbeek,Niederlande <OR> Niederländisch
Richmond Wohnheim College,Vereinigte Staaten
IHK,Vereinigte Staaten <OR> Amerikanisch <OR> USA
Dachse,Schweiz
Lynnwood Virginia Beach Virginia.,Vereinigte Staaten
Hayathnagar,Indien
Großer Ostrówek,Polen
Allgemeine Wahl in Lesotho 2012,Lesotho
Alamuchee-Bellamy überdachte Brücke,Vereinigte Staaten <OR> Union
West Quincy,Vereinigte Staaten
Zawory Woiwodschaft Pommern,Polen
Vesijako-Strenges-Naturschutzgebiet,Finnland
Barrington College,Amerikanisch
Chayagasaka Station,Japan
Weirsdale Florida,Vereinigte Staaten
Camp Roanoke,Vereinigte Staaten
Mittel Mittel,Peru
Conseco Fieldhouse,Vereinigte Staaten <OR> USA
Arto Tolsa Arena,Finnisch <OR> Finnland
Tumen Jilin,China
Castelnuovo di Farfa,Italienisch
Atwood,Vereinigte Staaten <OR> Amerikanisch
Goleschowo,Bulgarien
Bidamin.,Persisch <OR> Iran
ADA,Indien <OR> USA <OR> Amerikanisch <OR> Vereinigte Staaten <OR> USA
Paso del Cerro,Uruguay
Emerson Streichquartett,Amerikanisch
Sincik Haymana.,Truthahn
Weiße Ebenen,Vereinigte Staaten <OR> Amerikanisch <OR> USA
Briggs-Insel,Australien
Moskauer Kaiserliches Bolschoi-Theater,Russland
East York Stadtzentrum,Kanada
Arthur-Gebirge,Australien
Dereköy Kuyucak.,Truthahn
Accomack County Flughafen,Vereinigte Staaten
Nkonya.,Ghana
Europastrasse E571,Slowakei
Qajar Barani,Persisch <OR> Iran
Städtischer Hof,Polen
Trzpioły,Polen
RK Zamet,Kroatien
Tinley Park,Vereinigte Staaten
Kasi Viswanathar Tempel,Indien
Zizinaș Fluss,Rumänien
Stein-Stadt Historischer Bezirk,Vereinigte Staaten
Sobrado Paraíba,Brasilien
Alte Oper,Deutschland
Hauptstadtkreis (Tallahassee Florida),Vereinigte Staaten
Römisch-katholische Diözese von Huánuco,Peru
Witmarsum Santa Catarina.,Brasilien
Syracuse Missouri,Vereinigte Staaten
Marscholsee,Schweiz
Kanadische AIDS-Gesellschaft,Kanada
Dollar,Union <OR> USA <OR> Amerikanisch <OR> Vereinigte Staaten <OR> USA <OR> Simbabwe <OR> VEREINIGTE STAATEN VON AMERIKA <OR> Kanada
Gatighan,Philippinen
Scorțeni Bacău,Rumänien
Wisk'Achani (Oruro),Bolivien
Fröhliche Schelme,Vereinigte Staaten
Lhota Pod Hořičkami,Tschechische Republik
Loreggia,Italienisch <OR> Italien
Dr. Archibald Neil Sinclair Haus,Amerikanisch
Große Khan-Moschee,Ukraine
Madawala Madige,Sri Lanka
Indaiabira,Brasilien
Chesterton Indiana,Vereinigte Staaten
Lasva,Estland
Truro Kirche (Fairfax Virginia),USA
Elk Lake (Sägezahnwildnis),Vereinigte Staaten
Nordklofjellet,Norwegen
Manitoba Arbeitsvertretungsausschuss,Kanada
Alarm,Peru
Bärenbach (Salziger Tazlau),Rumänien
Lubě,Tschechische Republik
Krasnogorodsker Distrikt,Russland
TED-Gespräche,Amerikanisch
Nausharo,Pakistan
Villa Gamberaia,Italien
Bozen,Italienisch <OR> Italien <OR> Italien
Navan Bezirk,Peru
Burg Sommeregg,Österreich
Sharavana Kshetra,Indien
Hamburger Straße (Hamburger U-Bahn-Station),Deutschland
San Telmo Buenos Aires.,Argentinien <OR> Argentinier
Bradley Wisconsin,Vereinigte Staaten
Sultan Mastura Maguindanao.,Philippinen
Ace Speedway,Amerikanisch
Whitley Township Moultrie County Illinois,Vereinigte Staaten
Premnitz,Deutschland
Şurakənd Khizi.,Aserbaidschan
Kota-Brücke Klang.,Malaysia
Klein Schute Wisconsin,Vereinigte Staaten
Agin-Burjatischer Autonomer Kreis,Russland
Stuttgart Arkansas,USA <OR> Vereinigte Staaten
Aarhuskarlshamn,Dänemark
Hendricks County,Vereinigte Staaten <OR> Union
Aberdare-Nationalpark,Kenia
Selimiye Döşemealtı.,Truthahn
Paradiestal,Vereinigte Staaten <OR> Union <OR> Amerikanisch
Brüsseler Straßenbahnlinie 51,Belgien
Ekin Indiana,Vereinigte Staaten
Taschkenter Metro,Usbekistan
Milverton Ontario.,Kanada
Hempstead County,Vereinigte Staaten
