source,target
Provenzalisch,Französisch
Hind,Englisch <OR> Hindi
Französische Immersion,Französischsprachig <OR> Französisch <OR> Französisch <OR> französischsprachig <OR> französischsprachig
Strömsund Gemeinde,Schwedisch
Orthodoxe Kirche,Bulgarisch
Nordossetien-Alanien,Ossetisch <OR> Russisch <OR> Ossetisch
Kuhmoinen,Finnisch
Italien,Italienischsprachig <OR> Italienische Sprache <OR> Standarditalienisch <OR> Italienische Sprache <OR> Standarditalienisch <OR> Italienische Sprache <OR> italianisiert <OR> Altes Italienisch <OR> Italienischer Dialekt <OR> Italianisiert
CL,ES
Koski Tl,Finnisch
Kannusjärvi,Finnisch
Arjeplog Gemeinde,Schwedisch
Luxemburgisch,Luxemburg <OR> Französisch <OR> französischsprachig
Papua Barat,Indonesisch <OR> Indonesien
USA,Englisch <OR> Englisch <OR> anglisierte
Nigerianisch,Englisch
Altgriechisch,Albanien <OR> Zypern <OR> Italien <OR> Griechenland
Pirkkala,Finnisch
Aranès,Katalanisch
Nordatlantikpakt,Französisch
TH,Thailändisch
Kosovo,Serbisch <OR> Serbische Sprache <OR> Српска ћирилица <OR> shqip <OR> Albanisch <OR> Serbische Sprache <OR> Albanisch sprechend <OR> Albanisch
Union,Englisch <OR> Englisch <OR> Niederländisch <OR> anglophon
Kimitoön,Schwedisch <OR> Finnisch
Kanarische Inseln,Spanisch
Ruanda,Kinyarwanda <OR> Ruanda
New Jersey,Englisch <OR> Englisch
Tainionkoski,Finnisch
Vichy,Französisch
Neufundland,Englisch <OR> Englisch
Herzogtum Kleve,Niederländisch
Krasnojarsk Krai,Russisch
Österreich,DE <OR> Ger <OR> Germanisch <OR> Deutsch <OR> Deutschsprachig
Die Zeitgenossen.,Spanisch
Europäische Weltraumorganisation (Esa),Englisch <OR> Französisch
Achämeniden,Elamitisch <OR> Altpersisch
Borikén,Spanisch
Jakutien,Russisch
Ribagorça,Katalanisch
Kalimantan Timur,Indonesisch <OR> Indonesien
Albanien,Albanische Linguistik <OR> shqip <OR> Albanisch <OR> Albanisch <OR> Albanisch sprechend <OR> Albanisch
Lüttich (Provinz),Wallonisch <OR> Französisch
Donetsk-Region,Ukrainisch <OR> Russisch
Kiewer Rus',Alt-Russisch <OR> Ostslawisch <OR> Altostslawisch
Timurid,Persisch
Pälkäne,Finnisch
Indonesien,Indonesisch <OR> Indonesisch <OR> Indonesisch <OR> Indonesien
Toholampi,Finnisch
Maltesisch,Europäische Union <OR> Malta <OR> Englisch <OR> Maltesische Inseln <OR> Maltesischer Archipel <OR> Europa <OR> EU <OR> Maltesische Inseln
Hawaiʻi,Hawaiianische Sprache <OR> Englisch <OR> Hawaiianische Sprache <OR> einheimischer Hawaiianer
SMOM,Latein
Logar-Provinz,Dari
Posio,Finnisch
Byzantinisches Reich,mittelalterliches Griechisch <OR> mittelalterliches Griechisch <OR> Latein
Bni Marghnine,Amazigh
GUS-Staaten,Russisch <OR> Russisch
Manserock,Finnisch
Tschechien,Tschechisch
Anadyr,Tschuktschen <OR> Russisch
Byzantiner,mittelalterliches Griechisch <OR> Latein
Orivesi,Finnisch
Adygeja,Adygeische Sprache <OR> Russisch <OR> Adygeische Sprache <OR> Tscherkessisch
Marshalls,Marshallesisch
Tyva,Tuwinisch <OR> Tuvin <OR> Tuva <OR> Tyvan <OR> Tuwinisch <OR> Russisch
Rajasthan,Standard Hindi <OR> Hindi <OR> Hindi <OR> Hindi <OR> Hindi-Sprache
Malaiisch,Englisch
Indonesisches Archipel,Indonesien
Niederländische Sprachunion,Niederländisch <OR> Niederländisch
Kapverdisch,Sal
Ulvila,Finnisch
Formentera,Spanisch <OR> Katalanisch
Deutschsprachige Gemeinschaft,deutschsprachig <OR> Deutsch
Rautjärvi,Finnisch
Tschad,Französisch
Borgå,Schwedisch <OR> Schwedisch <OR> Finnisch
SSSR,Russisch
Polnische Nation,Polnisch
Welt-Esperanto-Jugendorganisation,Esperanto
Vinzentiner,Spanisch
