source,target
Yunnan Province,Kunming City<OR>Kunming
Owari Domain,Nagoya
Kuwait,Kuwait city<OR>Kuwait City
Benue-Plateau,Jos
Duplin County,"Kenansville<OR>Kenansville, North Carolina"
Charaideo,Ahom<OR>Ahom kingdom<OR>Assam
Northern Oblast (1936–37),Arkhangelsk
Belgrade Oblast,Belgrade
Hunt County,"Greenville, Texas<OR>Greenville"
Coshocton County,"Coshocton<OR>Coshocton, Ohio"
"Kennebec County, Maine","Augusta, Maine<OR>Augusta"
Rosario Department,Rosario
Roman Catholic Diocese Of Subotica,Subotica
Landskrona Municipality,Landskrona
Chhattisgarh,Raipur
Frisia,Leeuwarden
Bolzano,Bozen
Kamarupa,Guwahati
Himachal Pradesh,Shimla<OR>Simla<OR>Shimla Hills
Polish Army,Warsaw
"Creek County, Oklahoma",Sapulpa
Province Of Rimini,Rimini
Hainan Island,Haikou
Gmina Dobczyce,Dobczyce
Wichita County,"Wichita Falls, Texas<OR>Wichita Falls"
Clermont County,"Batavia, Ohio<OR>Batavia"
Popular Front,Madrid
Metropolitan Borough Of Wirral,Wallasey
Loukhsky District,Loukhi
Mizhhirya Raion,Mizhhirya
Adyghea,Maykop
Staryya Darohi Raion,Staryya Darohi
"Scioto County, Ohio","Portsmouth<OR>Portsmouth, Ohio"
Polotsk,Połock
Khost Province,Khost City<OR>Khost
Caldwell Parish,"Columbia, Louisiana<OR>Columbia"
Balrampur District,Balrampur
Craven,Skipton<OR>Skipton-in-Craven
ROC,Taipei
Selånger,Sundsvall
Halmstad Municipality,Halmstad
East Pakistan,Dacca<OR>Dhaka
Indramayu Regency,Indramayu
Mahshahr County,Mahshahr<OR>Bandar-e Mahshahr<OR>Bandar Mashur
Tosnensky,Tosnenskoye
"Morgan County, West Virginia","Berkeley Springs<OR>Berkeley Springs, West Virginia"
Tanaro (Department),Asti
Laghman Province,Mehtar Lam<OR>Mihtarlam
Tacna Province,Tacna
Perm Oblast,Perm
Aigeiros,Komotini
"Kholmsky District, Sakhalin Oblast",Kholmsk
Danish Government,Copenhagen
Appling County,Baxley
Quba District (Azerbaijan),Quba
Vietnam,Ha Noi<OR>Hanoï<OR>Hà Nội<OR>Thăng Long<OR>Hanoi
Amasya Province,Amaseia
Tang China,Chang'an
Valga,"Valga<OR>Valga, Estonia"
Minsk Governorate,Minsk
South East Sulawesi,Kendari
"Scott County, Kentucky","Georgetown<OR>Georgetown, Kentucky"
Carver County,Chaska
Kalamazoo County,"Kalamazoo, Michigan<OR>Kalamazoo"
"Mccone County, Montana","Circle<OR>Circle, Montana"
Byzantine,Constantinople<OR>Istanbul
Canton Of Thenon,Thenon
Heves County (Former),Eger
Saxe-Gotha,Gotha
RS,Porto Alegre
Vadstena Municipality,Vadstena
Nakasongola District,Nakasongola
Piatt County,"Monticello<OR>Monticello, Illinois"
Tablelands Region,Malanda
Kremenets Raion,Kremenets
French Empire,Paris
Tikhvinsky District,Tikhvin
Pipestone County,"Pipestone<OR>Pipestone, Minnesota"
Renfrewshire Council Area,Paisley
Wien-Umgebung,Klosterneuburg
Djelfa Province,Djelfa
"Dakota County, Nebraska",Dakota City
Hindu Shahi,Kabul
Rhône-Et-Loire,Lyon
Nord-Kivu,Goma
Bitola Municipality,Bitola
Tikhoretsky District,Tikhoretsk
Saitama Prefecture,"Saitama, Saitama<OR>Saitama"
Diekirch District,Diekirch
Rastatt (District),Rastatt
Loknyansky District,Loknya
Arrondissement Of Bressuire,Bressuire
North Norfolk,Cromer
Granma Province,Bayamo
"San Augustine County, Texas",San Augustine
Ummayad,Damascus
Jammu,Srinagar
Irion County,Mertzon
Trans-Nzoia,Kitale
"Cabell County, West Virginia","Huntington, West Virginia<OR>Huntington"
Gmina Gorzkowice,Gorzkowice
Saky Raion,Saky
Musandam Governorate,Khasab
Nadvirna Raion,Nadvirna
Larvotto,Monaco
"Hennepin County, Minnesota","Minneapolis, Minnesota<OR>Minneapolis, MN<OR>Minneapolis"
Canton Of Souvigny,Souvigny
Alto Minho,Viana
Province Of Rieti,Rieti
Accomack County,"Accomac<OR>Accomac, Virginia<OR>Drummondtown"
Enugu State,Enugu
Ceredigion,Aberystwyth<OR>Aberaeron<OR>Aberayron
Putumayo Department,Mocoa
Var (Department),Toulon
Arrondissement Of Guingamp,Guingamp
Tenasserim Division,Dawei<OR>Tavoy
Gmina Kazimierza Wielka,Kazimierza Wielka
Torres Strait Island Region,Thursday Island
Qajar,Tehran
Ethiopia,Addis-Ababa<OR>10 subcities<OR>Gondar<OR>Addis Ababa<OR>Addis Abeba
Adyghe Autonomous Oblast,Krasnodar<OR>Maykop
Crow Wing County,"Brainerd, MN<OR>Brainerd"
Misrata,Misurata
Ecuatorian,Quito
Indo-Parthian Kingdom,Taxila
Capellen (Canton),Capellen
Diourbel Region,Diourbel
Cesar Department,Valledupar
"Bullock County, Alabama",Union Springs
Uttar Pradesh,Lucknow<OR>Mohanlalganj
"Saint George Parish, Saint Vincent And The Grenadines",Kingstown
China Prc,Beijing
Chandel,Khajuraho
Western Pakistan,Peshawar
Sakhalin Oblast,Toyohara<OR>Yuzhno-Sakhalinsk
Japanese Empire,Tokyo
Torrance County,Estancia Valley
Centro Sur Province,Evinayong
Sivaganga District,Sivagangai<OR>Sivaganga
"Columbia County, Pennsylvania","Bloomsburg<OR>Bloomsburg, Columbia County"
Annam,Hanoi
French Kingdom,Paris
Spanish Colonial Period,Mexico City
Bengtsfors Municipality,Bengtsfors
Winston County,Double Springs
Qabala,Qəbələ
Kingdom Of Khotan,Hotan
Isanti,"Cambridge<OR>Cambridge, Minnesota"
Mpigi District,Mpigi
Burkinabé,Ouagadougou
Canton Of Saintes-Maries-De-La-Mer,Saintes-Maries-de-la-Mer
Kazakhsky Uyezd,Qazax
Nyandomsky District,Nyandoma
Rhône-Alpes,Lyon
Stellenbosch Municipality,Stellenbosch
"Dane County, Wisconsin","Madison<OR>Madison, Wisconsin"
"Pamlico County, North Carolina",Bayboro
Spanish Second Republic,Madrid
Sarlahi,Malangwa
Rakvere Parish,Rakvere
North Lanarkshire Council,Motherwell
Castilian,Burgos
Nye County,"Tonopah<OR>Tonopah, Nevada"
