source,target
Gboko,Nigerian<OR>Nigeria
"Southern University, Bangladesh",Bangladesh
Variety (Magazine),American
"Arthur Township, Kanabec County, Minnesota",United States
"Howard County, Missouri",United States<OR>USA
Shamuleh,Persian<OR>Iran
Wadi Fira Region,Chad
Laarbeek,Netherlands<OR>Dutch
Richmond Residential College,United States
IHC,United States<OR>American<OR>USA
Dachsen,Switzerland
"Lynnwood, Virginia Beach, Virginia",United States
Hayathnagar,India
Ostrówek Duży,Poland
"Lesotho General Election, 2012",Lesotho
Alamuchee-Bellamy Covered Bridge,United States<OR>Union
West Quincy,United States
"Zawory, Pomeranian Voivodeship",Poland
Vesijako Strict Nature Reserve,Finland
Barrington College,American
Chayagasaka Station,Japan
"Weirsdale, Florida",United States
Camp Roanoke,United States
Chawpi Chawpi,Peru
Conseco Fieldhouse,United States<OR>USA
Arto Tolsa Areena,Finnish<OR>Finland
"Tumen, Jilin",China
Castelnuovo Di Farfa,Italian
Atwood,United States<OR>American
Goleshovo,Bulgaria
Bidamin,Persian<OR>Iran
ADA,India<OR>US<OR>American<OR>United States<OR>USA
Paso Del Cerro,Uruguay
Emerson String Quartet,American
"Sincik, Haymana",Turkey
White Plains,United States<OR>American<OR>USA
Briggs Islet,Australia
Moscow Imperial Bolshoi Theatre,Russia
East York Town Centre,Canada
Arthur Range,Australia
"Dereköy, Kuyucak",Turkey
Accomack County Airport,United States
Nkonya,Ghana
European Route E571,Slovakia
Qajar Barani,Persian<OR>Iran
Miejski Dwór,Poland
Trzpioły,Poland
Rk Zamet,Croatia
Tinley Park,United States
Kasi Viswanathar Temple,India
Zizinaș River,Romania
Stone City Historic District,United States
"Sobrado, Paraíba",Brazil
Alte Oper,Germany
"Capital Circle (Tallahassee, Florida)",United States
Roman Catholic Diocese Of Huánuco,Peru
"Witmarsum, Santa Catarina",Brazil
"Syracuse, Missouri",United States
Marscholsee,Switzerland
Canadian Aids Society,Canada
Dollar,Union<OR>US<OR>American<OR>United States<OR>USA<OR>Zimbabwe<OR>UNITED STATES OF AMERICA<OR>Canada
Gatighan,Philippines
"Scorțeni, Bacău",Romania
Wisk'Achani (Oruro),Bolivia
Merry Pranksters,United States
Lhota Pod Hořičkami,Czech Republic
Loreggia,Italian<OR>Italy
Dr. Archibald Neil Sinclair House,American
Big Khan Mosque,Ukraine
Madawala Madige,Sri Lanka
Indaiabira,Brazil
"Chesterton, Indiana",United States
Lasva,Estonia
"Truro Church (Fairfax, Virginia)",USA
Elk Lake (Sawtooth Wilderness),United States
Nordklofjellet,Norway
Manitoba Labour Representation Committee,Canada
Alerta,Peru
Pârâul Ursului (Tazlăul Sărat),Romania
Lubě,Czech Republic
Krasnogorodsky District,Russia
Ted Talks,American
Nausharo,Pakistan
Villa Gamberaia,Italy
Bolzano,Italian<OR>Italy<OR>Italia
Navan District,Peru
Burg Sommeregg,Austria
Sharavana Kshetra,India
Hamburger Straße (Hamburg U-Bahn Station),Germany
"San Telmo, Buenos Aires",Argentina<OR>Argentine
"Bradley, Wisconsin",United States
"Sultan Mastura, Maguindanao",Philippines
Ace Speedway,American
"Whitley Township, Moultrie County, Illinois",United States
Premnitz,Germany
"Şurakənd, Khizi",Azerbaijan
"Kota Bridge, Klang",Malaysia
"Little Chute, Wisconsin",United States
Agin-Buryat Autonomous Okrug,Russia
"Stuttgart, Arkansas",USA<OR>United States
Aarhuskarlshamn,Denmark
Hendricks County,United States<OR>Union
Aberdare National Park,Kenya
"Selimiye, Döşemealtı",Turkey
Paradise Valley,United States<OR>Union<OR>American
Brussels Tram Route 51,Belgium
"Ekin, Indiana",United States
Tashkent Metro,Uzbekistan
"Milverton, Ontario",Canada
Hempstead County,United States
332Nd Engineer General Service Regiment,United States
2013 Referendum,Croatia
Tupu Inka,Peru
Tardets-Sorholus,France
Guayana,Venezuela
"Bargny, Oise",France
Vertou,France
Kabluk,Kenya
Esb Group,Irish<OR>Ireland
"Tilden, Texas",USA<OR>United States
Bära,Germany
"Mazraeh Now, Ashtian",Persian<OR>Iran
Kåge,Sweden
Cincinnati Musical Center Half Dollar,United States
Whitewater Memorial State Park,American
"Caldwell County, Missouri",USA<OR>United States
Wangchang Gewog,Bhutan
"San Sebastián, Cauca",Colombia
American Cinema,United States<OR>US<OR>American<OR>USA
Wacken,Germany
Channel 9,Australia
Yarmouth (Electoral District),Canada<OR>Canadian
Vermont Route 133,United States
Saint-Mathurin,France
"Corona, New York",American
503 Kingston Rd,Canada
Cape Cod National Seashore,United States
Leroy-Gridley Usd 245,United States
"Py, Pyrénées-Orientales",France
Suchy Róg,Poland
Al Ghalil,Yemen
Amhara National Democratic Movement,Ethiopia
Čvarići,Bosnia
"Shakopee, Minnesota",United States<OR>USA
Stavropol'Skiy,Kyrgyzstan
Balo-I,Philippines
Baychester,United States<OR>American<OR>USA
Château De Barbezieux,France
Leivonmäki,Finland
"Denver, Missouri",United States
"Zelenyi Hai, Borova Raion",Ukrainian<OR>Ukraine
Mutonguni,Kenya
"Qatur, Shahin Dezh",Persian<OR>Iran
Estadio Complejo Rentistas,Uruguay
"Milton, Kentucky",United States
Verkhniye Sergi,Russia<OR>Russian
Ocean Champions,United States
Afrikanda Air Base,Russia
"Koyu District, Miyazaki",Japan
Jewish Socialist Federation,United States<OR>USA
Balaqolu,Persian<OR>Iran
Bellambi,Australia
Paniai Regency,Indonesian<OR>Indonesia
Meri-Rastila,Finland
Morbihan,French<OR>France
Das Éguas River,Brazil
"Gold Creek, Arkansas",United States
Fraijanes,Guatemala
Peyovtsi,Bulgaria
Goszczyna,Poland
Jastrzębie Skarszewskie,Poland
Okongo Constituency,Namibia
"Husynne, Chełm County",Poland
Burg Castle (Burg Im Leimental),Switzerland<OR>Swiss
"Long Grove, Illinois",American
Taleh Jerd-E Sofla,Persian<OR>Iran
Mullynagolman,Ireland
"Falęcin, Płock County",Poland
Ibias (River),Spain
Nigula Nature Reserve,Estonia<OR>Estonian
Gmina Gózd,Poland
"Canadian Federal Election, 1887",Canada<OR>Canadian
League Of Composers,United States<OR>US<OR>American
River Sarisari,Dominica
"Mosca, Colorado",United States
Chokapara,India
Miyaki District,Japan
Žebnik,Slovenia
Unitarian Universalist Association,United States<OR>US<OR>American
Jenišovice (Jablonec Nad Nisou District),Czech Republic
Bouwlustlaan Randstadrail Station,Netherlands
Guercif,Morocco
Lipovac (Ražanj),Serbia
Shiding District,Taiwan
Sainte-Julie,Canada
Hakonegasaki Station,Japan
Boonville Airport (California),USA
Columbia Records,Japan<OR>Union<OR>US<OR>American<OR>United States<OR>USA
Umeda Station,Japan
Vizag,India
Duncanville High School,United States
Firebaugh,USA<OR>United States
Seattle Japanese Garden,United States
Sornàs,Andorra
Diesen,France
Naramice,Poland
"Vernon, British Columbia",Canada<OR>Canadian
Lalit Narayan Mithila University,India
National Organization On Fetal Alcohol Syndrome,United States
Kurume University,Japan
Persona Cable,Canadian
Tell Neba'A Litani,Lebanon
Noye,France
Seona,Bosnia
"Asmaca, Gerede",Turkey
Valea Largă River (Orăștie),Romania
Potok V Črni,Slovenia<OR>Slovene
"Casselberry, Florida",USA
Duro Felguera,Spain
Frăsiniș River,Romania
Nowa Guja,Poland
Bourg-Lastic,France
"Yeniköy, Bolu",Turkey
Hindustan University,India
Masha-Ye Abbas Zu Ol Faqari,Persian<OR>Iran
St. Olaf College,United States
Bhajahari Lodge,Bangladesh
"Yakacık, Merzifon",Turkey
Górny Gród,Poland
Fort Ruby,Union
Nielba Wągrowiec,Polish
Gandhi Smriti,India
Clyde Hotel,United States
"Hassi Abdallah, Algeria",Algeria
"Władysławowo, Gmina Wierzbinek",Poland
"Narek, Ararat",Armenia
Swedish Foundation For Strategic Research,Sweden
Yuhua,Singapore
"Tippecanoe, Ohio",United States
Laleta,Bosnia
Salehy,Madagascar
Nakayale,Namibia
Tazeh Kand-E Tahmasb,Persian<OR>Iran
Yanshan,China
Foyer France,Senegal
Girard College,United States
"Belknap Springs, Oregon",United States
Forensic And Scientific Services,Australia
Surnadal Il,Norwegian
"Saint-Laurent, Lot-Et-Garonne",France
Kim Động,Vietnam<OR>Việt Nam
Observation Tower Burgholzhof,Germany
Posanges,France
Le Tanet,France
Paracas Candelabra,Peru
AVIC,China
Cerro De Las Mesas,Mexican
Olgiate Comasco,Italian
Civilian Service Medal 1939–1945,Australia
Overberg,South Africa
"Lindeberg, Akershus",Norway
"Kliszów, Lower Silesian Voivodeship",Poland
Kelah Rash-E Bala,Persian<OR>Iran
La Casera,Spain
Chuqi Ch'Iwani,Bolivia
Bajrići (Cazin),Bosnia
"Clay Hill, Alabama",United States
Preston & Northcote Community Hospital,Australia
"Willowbrook, Saskatchewan",Canada
Ouittenga,Burkina Faso
Al-Ameen Pre University College,India
"Dotyville, Oklahoma",United States
"Bellwood, Louisiana",United States
Gardiners Island,United States<OR>American
"Jackson Township, Northumberland County, Pennsylvania",United States
"National Register Of Historic Places Listings In Hoonah–Angoon Census Area, Alaska",United States
"Kahnuj, Behabad",Persian<OR>Iran
Texas State Highway 183,American
"Lucinda, Queensland",Australia
Uptown Records,American
Torrelara,Spain
Gaurella,India
"Pilgrim'S Rest, Arkansas",United States
Tasmanian Supreme Court,Australia
Maritsa Municipality,Bulgarian<OR>Bulgaria
East Carpathian Biosphere Reserve,Ukraine<OR>Slovakia
Kimberley Alpine Resort,Canada
Abbey Of San Pedro De Siresa,Spain
Castillo De Moguer,Spain
Young Artist Awards,United States<OR>US<OR>American
List Of British Columbia Provincial Electoral Districts,Canadian
Dutch Grand Prix,Netherlands
Buen Retiro Park,Spain
Vlaams-Brabant,Belgium
Udren Zom,Pakistan
County Of Carlisle,Australia
Australian Telecommunications Corporation,Australia
Dooniver,Ireland
El Colegio De Veracruz,Mexico
Lower Castle Zizers,Switzerland<OR>Swiss
Niesłuchowo,Poland
2009 Lg Hockey Games,Sweden
"Mirabad, Margavar",Persian<OR>Iran
Petrijanec,Croatia
Zanus Rastaq Rural District,Persian<OR>Iran
Port Hudson National Cemetery,United States
Tocqueville-En-Caux,France
Litchfield High School (Illinois),United States
Beldorf,Germany
Douglas Park (Langley),Canada
Xırdalan,Azerbaijan
"Yeniköy, Posof",Turkey
"Danby, California",United States
Lusernetta,Italian
Eklizlyar,Azerbaijani<OR>Azerbaijan
Sahruyeh,Persian<OR>Iran
Abbans-Dessous,French<OR>France
Silver Lake Dam,United States
Dunkirk Light,United States
Wint,American
Mbugua,Kenya
Loguingot,Philippines
Mechanicsburg United Methodist Church,United States
Gmina Batorz,Poland
Gmina Leszno,Poland
Dughanlu,Persian<OR>Iran
Zavarijan,Persian<OR>Iran
Planica Nordic Center,slovene<OR>Slovenia
Rosetown Airport,Canada
"Shiloh, Sumter County, South Carolina",United States
Andersen Air Force Base,American
Ali Nawaz Ghoto Halt Railway Station,Pakistan
"Squib, Kentucky",United States
Swedish Academy,Sweden<OR>Swedish
Şıxəmir,Azerbaijan
Lotarev,Ukraine
"Czaple, Lower Silesian Voivodeship",Poland
Yucuaiquín,El Salvador
High Technology High School,United States
"Łubnica, Greater Poland Voivodeship",Poland
"Hecla, Kentucky",United States
"Clifton Junction, Tennessee",United States
Malaysia Federal Route 165,Malaysia
"Niranjanapur, Uttar Pradesh",India
Tourteron,France
Brooklyn Township,USA<OR>United States
Shooting Star State Trail,USA
Romanu River,Romania
Nez Perce Pass,United States
"Memorial Medical Center (Modesto, California)",United States
