source,target
Provençal,French
Hind,English<OR>Hindi
French Immersion,French-language<OR>French<OR>French language<OR>francophone<OR>Francophone
Strömsund Municipality,Swedish
Orthodox Church,Bulgarian
North Ossetia-Alania,Ossete<OR>Russian<OR>Ossetian
Kuhmoinen,Finnish
Italy,Italian-language<OR>Italian language<OR>standard Italian<OR>italian language<OR>Standard Italian<OR>Italian<OR>italianised<OR>Old Italian<OR>Italian vernacular<OR>Italianized
CL,ES
Koski Tl,Finnish
Kannusjärvi,Finnish
Arjeplog Municipality,Swedish
Luxembourgish,Lëtzebuerg<OR>French<OR>francophone
Papua Barat,Indonesian<OR>Indonesia
USA,English language<OR>English<OR>anglicized
Nigerian,English
Ancient Greek,Albania<OR>Cyprus<OR>Italy<OR>Greece
Pirkkala,Finnish
Aranese,Catalan
North Atlantic Alliance,French
TH,Thai
Kosovo,Serb<OR>Serbian language<OR>Serbian Cyrillic<OR>shqip<OR>Albanian<OR>Serbian<OR>Albanian-speaking<OR>Albanian language
Union,English language<OR>English<OR>Dutch<OR>anglophone
Kimitoön,Swedish<OR>Finnish
Islas Canarias,Spanish
Ruanda,Kinyarwanda<OR>Rwanda
New Jersey,English language<OR>English
Tainionkoski,Finnish
Vichy,French
Newfoundland,English language<OR>English
Duchy Of Cleves,Dutch
Krasnoyarsk Krai,Russian
Austria,DE<OR>Ger<OR>Germanic<OR>German language<OR>German-language
Los Contemporáneos,Spanish
European Space Agency (Esa),English<OR>French
Achaemenids,Elamite<OR>Old Persian
Borikén,Spanish
Yakutia,Russian
Ribagorça,Catalan
Kalimantan Timur,Indonesian<OR>Indonesia
Albania,Albanian Linguistics<OR>shqip<OR>Albanian<OR>Albanian Language<OR>Albanian-speaking<OR>Albanian language
Liège (Province),Walloon<OR>French
Donetsk Region,Ukrainian<OR>Russian
Kievan Rus',Old Russian<OR>East Slavic<OR>Old East Slavic
Timurid,Persian
Pälkäne,Finnish
Indonesia,Bahasa Indonesia<OR>Indonesian<OR>Indonesian language<OR>Indonesia
Toholampi,Finnish
Maltese,European Union<OR>Malta<OR>English<OR>Maltese islands<OR>Maltese archipelago<OR>Europe<OR>EU<OR>Maltese Islands
HawaiʻI,Hawaiian language<OR>English<OR>Hawaiian<OR>native Hawaiian
SMOM,Latin
Logar Province,Dari
Posio,Finnish
Byzantine Empire,medieval Greek<OR>Medieval Greek<OR>Latin
Bni Marghnine,Amazigh
Cis Countries,Russian language<OR>Russian
Manserock,Finnish
Czechia,Czech
Anadyr,Chukchi<OR>Russian
Byzantines,medieval Greek<OR>Latin
Orivesi,Finnish
Adyghea,Adyghe language<OR>Russian<OR>Adyghe<OR>Circassian
Marshalls,Marshallese
Tyva,Tuvan<OR>Tuvin<OR>Tuva<OR>Tyvan<OR>Tuvinian<OR>Russian
Rajasthan,Standard Hindi<OR>hindi<OR>Hindi<OR>Hindi language<OR>Hindi-language
Malay,English
Indonesian Archipelago,Indonesia
Dutch Language Union,Dutch<OR>Dutch language
Cape Verdian,Sal
Ulvila,Finnish
Formentera,Spanish<OR>Catalan
German-Speaking Community,germanophone<OR>German language
Rautjärvi,Finnish
Tchad,French
Borgå,Swedish<OR>Swedish language<OR>Finnish
SSSR,Russian
Polish Nation,Polish
World Esperanto Youth Organization,Esperanto
Vincentian,Spanish
Czech Republic,Czech language<OR>Czech<OR>Czech-language<OR>Czech Language
Fr Yugoslavia,Serbian<OR>Serbian Cyrillic
PH,Filipino
Chita,Russian
Medici Florence,Latin
Baiano,Portuguese
Aceh,Indonesian<OR>Indonesia<OR>Acehnese
SUI,GER
Greek-Language,Cypriot<OR>Greece<OR>Cyprus<OR>Europe
Florentine,Latin
Belarusian,Russified<OR>Russian<OR>Belarusian language
Ylitornio,Finnish
Palestinian Territories,Hebrew
Abaza,Karachay-Cherkessia<OR>Karachay-Cherkess Republic<OR>Karachay–Cherkess Republic
SC,English
Nepali Literature,Nepali language<OR>Nepali
Yugoslav,Serbo-Croatian<OR>Serbian
Tanzania,swahili<OR>English language<OR>English<OR>Swahili language<OR>Kiswahili language<OR>Swahili<OR>Anglophone<OR>Kiswahili
North Sumatera,Indonesian<OR>Indonesia
Odessa,Ukrainian<OR>Russian
Kymi,Finnish
Outer Mongolia,Mongol<OR>Mongolian
WTO,French
Universala Esperanto-Asocio,Esperanto
Alajärvi,Finnish
Sierra Leone,English language<OR>English
Ryukyus,Literary Chinese
Sweden–Norway,Swedish<OR>Norwegian
Stockholm,Swedish
Keralites,Malayalam
Sakha Republic,Russian
Burkinabé,French
Incas,Quechua
Czechoslovak,Czech language<OR>Czech<OR>Czech-language<OR>Slovak
Bulgarian Orthodox Church,Bulgarian language<OR>Bulgarian
Noord,Dutch
Special Municipalities,Dutch
Lappajärvi,Finnish
Hailuoto,Finnish
Tatarstan,Volga Tatar<OR>Tatar language<OR>Tatar<OR>Russian<OR>Tatar-language
China,Guoyu<OR>Manchu<OR>Cantonese<OR>Tibetan<OR>Khalkha Mongolian<OR>Putonghua<OR>Standard Tibetan<OR>chinese language<OR>Mandarin Chinese<OR>Mongolian language<OR>Mongolian<OR>Khalkha-Mongolian<OR>Simplified Chinese<OR>Chinese<OR>Mandarin<OR>Traditional Chinese<OR>Manchu language<OR>Mongol<OR>Chinese language<OR>Standard Mandarin<OR>Modern Standard Chinese<OR>Mongolian Language<OR>Standard Chinese<OR>Tibetan language
Finnish Orthodox Church,Finnish
North Atlantic Treaty Organisation (Nato),English<OR>French
Bashkort,Bashkortostan
Akrotiri,English
Carouge,French
Janakkala,Finnish
Russian Republic,Russian
Principality Of Wales,Welsh
Tammerfors,Finnish
Slovenia,Slovene Language<OR>Slovene-language<OR>Slovenian language<OR>Slovene<OR>Slovene language<OR>Slovenian
Teuva,Finnish
Kumlinge,Swedish
Falkland Islands,English
L'Isle,French
RSFSR,Russian
Ch'Ing Dynasty,Chinese
French Southern And Antarctic Lands,French
PMR,Moldovan<OR>Russian<OR>Moldova
CA,English
TAAF,French
"Vézac, Dordogne",French
Flemish Community,Dutch
Lamone,Italian
Congo Republic,French
Puolanka,Finnish
Québécoise,French
Greece,Modern Greek
Uusikaupunki,Finnish
Uppsala,Swedish
Jyväskylä,Finnish
Philippine Islands,Pilipino<OR>English<OR>Filipino
Spanish Colonial Empire,Spanish
Bajan,English
Europe,NL<OR>Irish language<OR>Finnish<OR>French<OR>Latvian language<OR>francophone<OR>German-language<OR>Greek-language<OR>Czech<OR>literally English<OR>Swedish<OR>French-language<OR>Dutch language<OR>Italian language<OR>English language<OR>Portuguese<OR>FR<OR>French language<OR>Greek<OR>Danish<OR>Slovak<OR>Estonian<OR>Lithuanian language<OR>Romanian<OR>Spanish<OR>English<OR>Croatian<OR>Maltese<OR>Slovene<OR>Spanish language<OR>German language<OR>Latvian<OR>anglophone<OR>Lithuanian<OR>Anglophone<OR>Bulgarian<OR>Hungarian<OR>Dutch<OR>Polish<OR>DE<OR>Polish language<OR>Italian<OR>British English<OR>Irish
Federation Of Bosnia And Herzegovina,Croatian<OR>Serbian
Sipoo,Swedish<OR>Finnish language<OR>Finnish
Alaska,English
Honduras,Spanish<OR>Hispanic<OR>Spanish language
Cape Verde Islands,Portuguese
Huehuetenango,Awakatek<OR>Akatek<OR>Aguacateco<OR>Mam<OR>Chuj
"Rauma, Finland",Finnish
Veyrier,French
Lieto,Finnish
"Ii, Finland",Finnish
Moscow Mathematical Society,Russian
White Russia,Belarusian
Wallonia,French-language<OR>French<OR>French language<OR>francophone<OR>Francophone
Canada,French-language<OR>Anglicized<OR>EN<OR>anglicized<OR>French Language<OR>Anglo<OR>English language<OR>English<OR>French<OR>Modern English<OR>French language<OR>Francophonie<OR>francophone<OR>french-language<OR>anglophone<OR>french language<OR>Anglophone<OR>Francophone
Kuhmo,Finnish
Hondurans,Spanish
Mocambique,Portuguese
Khmer,Khmer language
Serbo-Montenegrin,Serbian
Russia Ssr,Russian
Orkish,Black Speech
Renens,French-language<OR>Francophone
North Sumatra,Bahasa Indonesia<OR>Indonesian<OR>Minangkabau language<OR>Indonesia
Hango,Swedish<OR>Finnish
Säkylä,Finnish
Nummela,Finnish
Haïti,Haitian Creole<OR>French
United Provinces,Urdu<OR>Hindi
Slovene Language,Slovenian<OR>Slovenia
Georgian Orthodox Christian,Georgian
Lehendakari,Spanish<OR>Basque
Catalans,Spanish<OR>Catalan<OR>Catalan Language
Stavropol Krai,Russian
Vichy Era,French
Guatemala,Castilian<OR>Spanish<OR>Spanish-language<OR>Spanish language
"Quebec City, Quebec",French-language<OR>French language<OR>French<OR>francophone
French Historian,French
Tuva Republic,Tuvan<OR>Russian
Mordovia,Russian-language<OR>Erzya<OR>Moksha language<OR>Erzya language<OR>Russian<OR>Erzya Language<OR>Moksha
Oulunsalo,Finnish
Alicante,Spanish<OR>Valencian
Jura Bernois Administrative District,French
Keitele,Finnish
British Columbia,English language<OR>English
Amejjaou,Amazigh
Turkey,Ottoman Turkish<OR>Turkish<OR>Turkic<OR>Modern Turkish<OR>Ottoman<OR>Turkish language<OR>Turkish Language
Green Cape,Portuguese
Francia,French
Pyhäjoki,Finnish
Negara Brunei Darussalam,Malay
Normandy,Norman language<OR>Norman<OR>Latinized<OR>Latin
United States,Old English<OR>Anglicized<OR>EN<OR>anglicised<OR>anglicized<OR>English language<OR>English<OR>Anglophones<OR>Modern English<OR>anglophone<OR>Anglophone
French-Armenian,French language<OR>French
Transnistrian Republic,Russian<OR>Moldova
Nilsiä,Finnish
Siikalatva,Finnish
Kärkölä,Finnish
Uttar Pradesh,Standard Hindi<OR>Urdu<OR>Hindi<OR>Urdu language<OR>Hindi language
NAFTA,Spanish<OR>French
Ukrainian Socialist Soviet Republic,Ukrainian<OR>Russian language
Krasnodar Kray,Russian
Bernese Jura,French-language<OR>French
Bolhrad Raion,Ukrainian
Spanish Colonial Era,Spanish<OR>Spanish language
Khanty–Mansia,Russian<OR>Khanty<OR>Mansi
Ilomantsi,Finnish
Chukotka Autonomous Okrug,Chukchi<OR>Chukchee<OR>Russian
Bergs Kommun,Swedish
The Gambia,English
Bolshevik,Russian
Khorasan,Middle Persian<OR>Persian<OR>Persian language
Central African Republic,Sango<OR>French<OR>Sangho
Bengkulu,Indonesian<OR>Central Malay<OR>Indonesia
Sottunga,Swedish
Maltese Language,Malta<OR>EU
Hindustan,Hindi
Siikajoki,Finnish
កម្ពុជា,Khmer
Tennessee,English
DPRK,North Korean
French Canadian,French
Upplands-Bro Municipality,Swedish
Krasnoyarsk Territory,Russian
Karvia,Finnish
Hyderabad City,Urdu
Netherlands,NL<OR>Dutch<OR>Dutch language<OR>Dutch Language<OR>Dutch-language
Raisio,Finnish
Czechoslovakia,Czech language<OR>Slovak-language<OR>Slovak<OR>Slovak language<OR>Slovakian<OR>Czech
Shimla,Hindi
Namesake Community,Valencian
South Africa,Venda<OR>seTswana<OR>Setswana<OR>Venda language<OR>Afrikaans language<OR>Swati<OR>Tsonga<OR>Siswati<OR>Sesotho language<OR>Tswana<OR>Sotho<OR>Tshivenḓa<OR>northern Sotho<OR>isiXhosa<OR>English language<OR>seSotho<OR>Zulu<OR>Southern Sotho<OR>Sotho language<OR>isiZulu<OR>Zulu language<OR>Swazi<OR>Shangaan<OR>siSwati<OR>English<OR>Sepedi<OR>Xitsonga<OR>SiSwati<OR>Anglophone<OR>Xhosa language<OR>Northern Sotho<OR>Afrik<OR>Afrikaans<OR>Xhosa<OR>Swati language<OR>Tsonga language<OR>Sesotho<OR>Northern Sotho language<OR>Tswana language
Isla De Pascua,Spanish
Sahrawi Arab Democratic Republic,Spanish
Padasjoki,Finnish
Kolari,Finnish
Udmurt,Russian
Annam,Vietnamese
"Chiasso, Switzerland",Italian
República Del Perú,Spanish<OR>Quechua
Angola,Portuguese-language<OR>Portuguese language<OR>Portuguese
SE,Swedish
Aruba,Dutch<OR>Dutch language<OR>Papiamento<OR>Dutch-language<OR>Papiamentu
Guernsey,English language<OR>English<OR>French
Slovenian Language,Slovenia
Russian Studies,Russian language
Bern,German-language<OR>French<OR>German language
Gagauz,Russian
Belorussian Ssr,Russian
Zululand,Zulu language
Savonlinna,Finnish language<OR>Finnish
Akademiska Damkören Lyran,Swedish
Faroese Islands,Faroese
Inari Municipality,Finnish
Argentinian,Spanish
Kitee,Finnish
Bedano,Italian
Azad Kashmir,Urdu<OR>English
Hammarland,Swedish
Città Del Vaticano,Italian-language<OR>Italian
Sweden-Norway,Swedish
Jambi,Malay<OR>Indonesian<OR>Indonesia
Adygea,West Circassian<OR>Russian<OR>Adyghe<OR>Circassian
Buriatia,Russian
Sierra Leonean,English
European Community,Spanish<OR>Italian
French Community,French
Kyoto Prefecture,Jpn
Cyprus,Turkish<OR>modern Greek language
Crusader Kingdom,Latin
Cape Verde,Capeverdean Crioulo<OR>Santo Antão Crioulo<OR>Sal<OR>Santo Antão<OR>São Vicente<OR>Cape Verdean Creole<OR>Portuguese<OR>São Vicente Crioulo<OR>Creole<OR>Portuguese language
Kivijärvi,Finnish
Ile De France,French
Komi,Russian
Altai Territory,Russian
Cameroon,English<OR>French<OR>Anglophones<OR>francophone<OR>anglophone<OR>Anglophone<OR>Francophone
Lestijärvi,Finnish
Moldavia,Moldovan
Central Africa,Sango<OR>French
Canary Island,Spanish
Loimaa,Finnish
NO,Norwegian (Nynorsk)<OR>New Norwegian
Alacant,Spanish<OR>Valencian
Bulgarian Church,Bulgarian language<OR>Bulgarian
Torneå,Finnish
Krasnoyarsk,Russian
Northeast Brazil,Portuguese
Caslano,Italian
Polynesian,French
Spanish Colonization,Spanish
Mikkeli,Finnish language<OR>Finnish
Byzantine Emperors,Latin
Cataluna,Spanish
Aargau,German-language
