source,target
युन्नान प्रांत,कुन्बिंग शहर <OR> कुन्मिंग
ओवारी डोमेन,नागोया
कुवैत,कुवैत सिटी <OR> कुवैत सिटी
बेन्यू-प्लेटो,जोश
डुप्लिन काउंटी,"केनन्सविल <OR> केनन्सविल, उत्तरी कैरोलिना"
चाराideo,आहोम <OR> आहोम साम्राज्य <OR> असम
उत्तरी ओब्लास्ट (1936–37),आर्कान्जेल्स्क
बेलग्रेड ओब्लास्ट,बेलग्रेड
हंट काउंटी,"ग्रीनविल, टेक्सास <OR> ग्रीनविल"
कोशोक्टन काउंटी,"कोशोक्टन <OR> कोशोक्टन, ओहायो"
"केननेबेक काउंटी, मेन","ऑगस्टा, मेन। <OR> ऑगस्टा"
रोसारियो विभाग,रोसारियो
रोमन कैथोलिक डायोसीज़ ऑफ़ सुभोटिका,सुबोटिका
लैंड्सक्रोना नगरपालिका,लैंड्सक्रोना
छत्तीसगढ़,रायपुर
फ्रिसिया,लीउवर्डेन
बोल्ज़ानो,बोज़ेन
कामरूप,गुवाहाटी
हिमाचल प्रदेश,शिमला <OR> शिमला <OR> शिमला पहाड़ियाँ
पोलिश सेना,वारसॉ
"क्रिक काउंटी, ओक्लाहोमा",सापुल्पा
रिमिनी प्रांत,रिमिनी
हैनान द्वीप,हैकोउ
गमिना डोब्चीचे,डोब्ज़ीचे
विचिता काउंटी,"विचिता फॉल्स, टेक्सास <OR> विचिता फॉल्स"
क्लेरमोंट काउंटी,"बाटाविया, ओहायो <OR> बाटाविया"
लोकप्रिय मोर्चा,मैड्रिड
मेट्रोपॉलिटन बरो ऑफ़ विर्ल,वॉलेसी
लौखस्की जिला,लौखी
मिज़्हिर्या रायन,मिज़्हिर्या
अडिगेया,मायकोप
स्टार्य्या दारोही रायन,स्टार्य्या दारोही
"साइओटो काउंटी, ओहायो","पोर्ट्समाउथ <OR> पोर्ट्समाउथ, ओहायो"
पोलोत्स्क,पोलोक
खोस्ट प्रांत,खोस्ट शहर <OR> खोस्ट
कॉल्डवेल पैरिश,"कोलंबिया, लुइज़ियाना <OR> कोलंबिया"
बलरामपुर जिला,बलरामपुर
क्रेवेन,स्किप्टन <OR> स्किप्टन-इन-क्रेवेन
आरओसी,ताइपेई
सेलांगर,सुंडस्वाल
हल्मस्टाड नगरपालिका,हल्मस्टाड
पूर्व पाकिस्तान,ढाका <OR> ढाका
इंद्रामायु रेजेंसी,इंद्रमायु
महशहर काउंटी,महशहर <OR> बंदर-ए महशहर <OR> बंदर मशहूर
टोसनेन्स्की,टोसनेन्स्कोये
"मॉर्गन काउंटी, वेस्ट वर्जीनिया","बर्कले स्प्रिंग्स <OR> बर्कले स्प्रिंग्स, वेस्ट वर्जीनिया"
तानारो (विभाग),अस्ति।
लगमन प्रांत,मेहतर लाम <OR> मिह्तारलाम
टैकना प्रांत,टैकना
पर्म ओब्लास्ट,परम
ऐगेरोस,कोमोटिनी
"खोल्म्स्की जिला, सखालिन ओब्लास्ट",खोल्म्स्क
डेनिश सरकार,कोपेनहेगन
एप्लिंग काउंटी,बैक्सले
कुबा जिला (अज़रबैजान),क़ूबा
वियतनाम,हा नॉई <OR> हनोई <OR> हनोई <OR> थăng लोंग <OR> हनोई
अमास्या प्रांत,अमासिया
तांग चीन,चांग'an
वाल्गा,"वाल्गा <OR> वाल्गा, एस्टोनिया।"
मिन्स्क गवर्नरेट,मिन्स्क
दक्षिण पूर्व सुलावेसी,केन्दारी
"स्कॉट काउंटी, केंटकी","जॉर्जटाउन <OR> जॉर्जटाउन, केंटकी"
कार्वर काउंटी,चस्का
कलामज़ू काउंटी,"कालामज़ू, मिशिगन <OR> कलामज़ू"
"मैककॉन काउंटी, मोंटाना","गोलाकार <OR> सर्कल, मोंटाना"
बिजेंटाइन,कॉनस्टेंटिनोपल <OR> इस्तांबुल
थेनॉन का कैंटन,थेनॉन
हेवेस काउंटी (पूर्व),एगर
सैक्स-गोटा,गोथा
आरएस,पोर्टो एलेग्रे
वाडस्टेना नगरपालिका,वाड्स्टेना
नकासोंगोल जिला,नकासोंगोलाअ
पियाट काउंटी,"मॉन्टिसेल्लो <OR> मॉन्टिसेलो, इलिनॉय"
टेबलैंड्स क्षेत्र,मलंदा
क्रेमेनेत्स रायन,क्रेमेनेत्स।
फ्रांसीसी साम्राज्य,पेरिस
तिखविंस्की जिला,तिखविन
पाइपस्टोन काउंटी,"पाइपस्टोन <OR> पाइपस्टोन, मिनेसोटा"
रेनफ्रूशायर काउंसिल क्षेत्र,पैस्ले
वियना-परिसर,क्लॉस्टरन्यूबर्ग
जेल्फा प्रांत,जेल्फा
"डकोटा काउंटी, नेब्रास्का",डकोटा सिटी
हिंदू शाहि,काबुल
रोन-एट-लोयर,ल्यों
नॉर्ड-किवु,गोमा
बिटोला नगरपालिका,बिटोला
तिखोरेत्स्की जिला,टिखोरेत्स्क
सैतामा प्रिफेक्चर,"सैतामा, सैतामा। <OR> सैतामा"
डिकिर्क जिला,डाइकिर्क
रास्टाट (जिला),रास्टाट्ट
लोकन्यांस्की जिला,लोकन्या
ब्रेसुइरे का arrondissement,ब्रेस्वायर
उत्तर नॉरफोक,क्रोमर
ग्रानमा प्रांत,बायामो
"सैन ऑगस्टिन काउंटी, टेक्सास",सैन ऑगस्टिन
उम्मयद,दमिश्क
जम्मू,श्रीनगर
इरियन काउंटी,मर्टज़ोन
ट्रांस-नज़ोइया,किताले
"कैबेल काउंटी, वेस्ट वर्जीनिया","हंटिंगटन, वेस्ट वर्जीनिया <OR> हंटिंगटन"
गमिना गोरज़कोविसे,गोरज़कोविसे
साक्य रायन,साक्य
मुसंदम गवर्नरेट,खसाब
नादविरना जिला,नदविरना
लार्वोट्टो,मोनाको
"हेनिपिन काउंटी, मिनेसोटा","मिनियापोलिस, मिनेसोटा <OR> मिनियापोलिस, एमएन <OR> मिनियापोलिस"
सौविग्नी का कैंटन,सोविन्य
आल्टो मिन्हो,वियाना
रीएटी प्रांत,रिएती
एकॉमैक काउंटी,"एक्कोमैक <OR> एक्कोमैक, वर्जीनिया <OR> ड्रमंडटाउन"
एनुगु राज्य,एनुगु
सेरेडिगियन,एबेरिस्टविथ <OR> एबेराएरोन <OR> एबेरेयरन
पुतुमायो विभाग,मोकोआ
विभाग,टूलन
गुइंगाम्प का arrondissement,गुइंगम्प
तेनासेरिम डिवीजन,दवेई <OR> तवॉय
गमिना काज़िमierzा विएल्का,काज़ीमierzा विएल्का
टॉरेस स्ट्रेट द्वीप क्षेत्र,गुरुवार द्वीप
क़ाजार,तेहरान
इथियोपिया,अदीस अबाबा <OR> 10 उपनगर <OR> गोंडर <OR> अदीस अबाबा <OR> अदीस अबाबा
अदिगे स्वायत्त ओब्लास्ट,क्रास्नोडार <OR> मायकोप
क्रो विंग काउंटी,"ब्रेनरड, एमएन <OR> ब्रेनर्ड"
मिस्राता,मिसुराता
इक्वाडोरियन,क्विटो
इंडो-परथियन साम्राज्य,तक्षशिला
कैपेलन (कैंटन),कैपेलन
डियॉरबेल क्षेत्र,डियॉरबेल
सीज़र विभाग,वाल्लेदुपार
"बुलॉक काउंटी, अलबामा",यूनियन स्प्रिंग्स
उत्तर प्रदेश,लखनऊ <OR> मोहनलालगंज
"सेंट जॉर्ज पैरिश, सेंट विंसेंट और ग्रेनेडाइन्स",किंग्सटाउन
चीन पीआरसी,बीजिंग
चंदेल,खजुराहो
पश्चिमी पाकिस्तान,पेशावर
सखालिन ओब्लास्ट,तोयोहारा <OR> युज़्नो-साखालिंस्क
जापानी साम्राज्य,टोक्यो
टॉरेंस काउंटी,एस्टांसी वैली
सेंट्रो सुर प्रांत,एविनायोंग
