source,target
गबोको,नाइजीरियाई <OR> नाइजीरिया
"दक्षिणी विश्वविद्यालय, बांग्लादेश",बांग्लादेश
वैराइटी (मैगज़ीन),अमेरिकी
"आर्थर टाउनशिप, कनाबेक काउंटी, मिनेसोटा",संयुक्त राज्य अमेरिका
"हॉवर्ड काउंटी, मिसौरी",संयुक्त राज्य अमेरिका <OR> अमेरिका
शामुलेह,फारसी <OR> ईरान
वाडी फिरा क्षेत्र,चाड
लार्बीक,नीदरलैंड्स <OR> डच
रिचमंड रेजिडेंशियल कॉलेज,संयुक्त राज्य अमेरिका
IHC,संयुक्त राज्य अमेरिका <OR> अमेरिकी <OR> अमेरिका
डैक्सन,स्विट्ज़रलैंड
"लिनवुड, वर्जीनिया बीच, वर्जीनिया",संयुक्त राज्य अमेरिका
हयातनगर,भारत
ओस्ट्रोवेक डूज़ी,पोलैंड
"लेसोथो आम चुनाव, 2012",लेसोथो
अलामुची-बेलामी कवर ब्रिज,संयुक्त राज्य अमेरिका <OR> संघ
वेस्ट क्विंसी,संयुक्त राज्य अमेरिका
"ज़ावोरी, पोमेरेनियन वोइवोदशिप",पोलैंड
वेसिजाको सख्त प्रकृति आरक्षित क्षेत्र,फिनलैंड
बैरिंगटन कॉलेज,अमेरिकी
चायगासका स्टेशन,जापान
"वीर्सडेल, फ्लोरिडा",संयुक्त राज्य अमेरिका
कैम्प रोअनोक,संयुक्त राज्य अमेरिका
चौपी चौपी,पेरू
कॉनसेको फील्डहाउस,संयुक्त राज्य अमेरिका <OR> अमेरिका
आर्टो टोल्सा एरीना,फिनिश <OR> फिनलैंड
"तुमेन, जिलिन।",चीन
कास्टेलनुओवो दी फार्फा,इतालवी
एटवुड,संयुक्त राज्य अमेरिका <OR> अमेरिकी
गोलेशोवो,बुल्गारिया
बिदामिन,फारसी <OR> ईरान
एडीए,भारत <OR> अमेरिका <OR> अमेरिकी <OR> संयुक्त राज्य अमेरिका <OR> अमेरिका
पासो डेल सेरो,उरुग्वे
एमर्सन स्ट्रिंग क्वार्टेट,अमेरिकी
"सिंचिक, हैमना।",तुर्की
व्हाइट प्लेन्स,संयुक्त राज्य अमेरिका <OR> अमेरिकी <OR> अमेरिका
ब्रिग्स आइलट,ऑस्ट्रेलिया
मॉस्को साम्राज्यवादी बोल्शोई थियेटर,रूस
ईस्ट यॉर्क टाउन सेंटर,कनाडा
आर्थर रेंज,ऑस्ट्रेलिया
"डेरेकॉय, क्यूयुजक।",तुर्की
एक्कोमैक काउंटी हवाई अड्डा,संयुक्त राज्य अमेरिका
