source,target
یونان صوبہ,کنمنگ شہر <OR> کنمنگ
اواری ڈومین,ناگویا
کویت,کویت سٹی <OR> کویت سٹی
بینوے-پلیٹو,جوس
ڈوپلن کاؤنٹی,کیننس ویل <OR> کیننسویل، شمالی کیرولائنا
چراڈیئو,اہوم <OR> اہوم سلطنت <OR> آسام
شمالی اوبلاست (1936–37),آرخانگلسک
بیلگریڈ صوبہ,بیلگریڈ
ہنٹ کاؤنٹی,گرینویل، ٹیکساس <OR> گرینویل
کوشوکتن کاؤنٹی,کوشوکتن <OR> کوشوکتن، اوہائیو
کینیبیک کاؤنٹی، میین,اگستہ، میین <OR> اگستہ
روزاریو محکمہ,روزاریو
رومی کیتھولک ڈائیوسیس آف سبوٹیکا,سبوٹیکا
لینڈسکرونا میونسپلٹی,لینڈسکرونا
چھتیس گڑھ,رائے پور
فریسیا,لیووارڈن
بولزانو,بوزن
کامرُوپ,گواہاتی
ہماچل پردیش,شملہ <OR> شملہ <OR> شملہ پہاڑیاں
پولش فوج,وارسا
کریک کاؤنٹی، اوکلاہوما,ساپولپا
ریمنینی کا صوبہ,ریمنئی
ہینان جزیرہ,ہیکو
گمینا ڈوبچیچے,ڈوبچیسے
وچٹا کاؤنٹی,وچیتا فالز، ٹیکساس <OR> وچٹا فالز
کلیرمونٹ کاؤنٹی,بیٹیویا، اوہائیو <OR> باتاویا
مقبول محاذ,میڈرڈ
میٹروپولیٹن بارو آف ویرل,والسی
لوکھسکی ضلع,لوکی
میزہریا ریون,مذہریہ
ادغیہ,مے کوپ
اسٹاریا داروہی ریجن,اسٹاریا داروہی
سائیوٹو کاؤنٹی، اوہائیو,پورٹسماؤتھ <OR> پورٹسمتھ، اوہائیو
پولٹسک,پولک
خوست صوبہ,خوست شہر <OR> خوست
کالڈویل پیریش,کولمبیا، لوئیزیانا۔ <OR> کولمبیا
بلرامپور ضلع,بلرامپور
کرون,اسکپٹن <OR> اسکیپٹن-ان-کریون
آر او سی,تائی پے
سیلاںگر,سندسوال
ہالمسٹاد میونسپلٹی,ہالمسٹاد
مشرقی پاکستان,ڈھاکہ <OR> ڈھاکہ
انڈرما یو ریجنسی,انڈرامایو
مہشہر کاؤنٹی,مہشہر <OR> بندر مہشہر <OR> بندر مشہور
توسننسکی,توسننسکoye
مورگن کاؤنٹی، ویسٹ ورجینیا,برکلی اسپرنگز <OR> برکلے اسپرنگز، ویسٹ ورجینیا
تنارو (محکمہ),آستی
لغمان صوبہ,محتار لام <OR> محتارلام
ٹکنا صوبہ,ٹاکنا
پرمی اوبلاست,اجازت
ایگیروس,کوموٹینی
کھولمسکی ضلع، سکھالین اوبلاست۔,کھولمسک
ڈینش حکومت,کاپن ہیگن
ایپپلنگ کاؤنٹی,بیکسلی
قوبا ضلع (آذربائیجان),قبا
ویتنام,ہنوئی <OR> ہنوئی <OR> ہنوئی <OR> تھنگ لونگ <OR> ہنوئی
اماسیہ صوبہ,اماسیہ
تنگ چین,چانگ'an
والگا,والگا <OR> والگا، ایسٹونیا
منسک گورنری,منسک
جنوب مشرقی سلاویسی,کنداری
اسکاٹ کاؤنٹی، کینٹکی,جارج ٹاؤن <OR> جارج ٹاؤن، کینٹکی
کارور کاؤنٹی,چسکا
کلامازو کاؤنٹی,کلامازو، مشی گن <OR> کلامازو
میکون کاؤنٹی، مونٹانا,دایرہ <OR> سرکل، مونٹانا
بازنطینی,استنبول <OR> استنبول
تھینون کا کینٹون,تھینون
ہیوس کاؤنٹی (سابق),ایگر
سیکس-گوٹھا,گوتھا
RS.,پورٹو الیگری
وڈسٹینا میونسپلٹی,وڈسٹینا
ناکاسونگولا ضلع,ناکاسونگولا
پیئٹ کاؤنٹی,مونٹیسیلو <OR> مونٹیسیلو، الینوائے
ٹیبل لینڈز ریجن,ملندا
کریمینٹس ریون,کریمینٹس
فرانسیسی سلطنت,پیرس
تکھوینسکی ضلع,ٹکھوین
پائپ اسٹون کاؤنٹی,پائپ اسٹون <OR> پائپ اسٹون، مینیسوٹا
رینفروشر کونسل علاقہ,پیسیلی
وین-احاطہ,کلاسترنوبورگ
جلفا صوبہ,جلفا
ڈاکوٹا کاؤنٹی، نیبراسکا,ڈاکوٹا سٹی
ہندو شاہی,کابل
رون-ایٹ-لوائر,لیون
نورد-کیوو,گومہ
بٹولا میونسپلٹی,بٹولا
ٹکھورٹسکی ضلع,ٹکھورٹسک
سائیٹاما پریفیکچر,سائٹاما، سائٹاما۔ <OR> سائٹاما
ڈیکرچ ضلع,ڈیکرچ
راستت (ضلع),راستت
لوکنیانسکی ضلع,لوکنیہ
برسویئر کا ضلع,بریسور
شمالی نارفوک,کرومر
گرانما صوبہ,بایامو
سان آگسٹین کاؤنٹی، ٹیکساس,سان آگسٹائن
اموی,دمشق
جموں,سری نگر
ایریون کاؤنٹی,میرٹزون
ٹرانس-نزویا,کتالے
