source,target
گبوکو,نائیجیریائی <OR> نائیجیریا
جنوبی یونیورسٹی، بنگلہ دیش,بنگلہ دیش
ورائٹی (میگزین),امریکی
آرتھر ٹاؤن شپ، کینابیک کاؤنٹی، مینیسوٹا,ریاستہائے متحدہ
ہوورڈ کاؤنٹی، میزوری,ریاستہائے متحدہ <OR> امریکہ
شمولہ,فارسی <OR> ایران
وادی فیرہ علاقہ,چاد
لاربیک,نیدرلینڈز <OR> ڈچ
ریچمنڈ رہائشی کالج,ریاستہائے متحدہ
آئی ایچ سی,ریاستہائے متحدہ <OR> امریکی <OR> امریکہ
ڈاچن,سویٹزرلینڈ
لِن ووڈ، ورجینیا بیچ، ورجینیا,ریاستہائے متحدہ
حیات نگر,بھارت
اوسٹرووک ڈوجی,پولینڈ
لیسوتھو عام انتخابات، 2012,لیسوتھو
عالموچی-بیلامی ڈھکی ہوئی پل,ریاستہائے متحدہ <OR> اتحاد
ویسٹ کوئینسی,ریاستہائے متحدہ
زاوری، پومیرینیا ویوودشپ,پولینڈ
ویسیجا کو سخت قدرتی محفوظ علاقہ,فن لینڈ
بیئرنگٹن کالج,امریکی
چایگاساکا اسٹیشن,جاپان
ویئرزڈیل، فلوریڈا,ریاستہائے متحدہ
کیمپ روانوک,ریاستہائے متحدہ
چوپی چوپی,پیرو
کانسیکو فیلڈہاؤس,ریاستہائے متحدہ <OR> امریکہ
آرٹو ٹولسا ارینا,فننش <OR> فن لینڈ
تومین، جی لین۔,چین
کاسٹیلنووو ڈی فارفا,اطالوی
ایٹ ووڈ,ریاستہائے متحدہ <OR> امریکی
گولیشوو,بلغاریہ
بیدامن,فارسی <OR> ایران
اڈا,بھارت <OR> امریکہ <OR> امریکی <OR> ریاستہائے متحدہ <OR> امریکہ
پاسو ڈیل سیرو,یوراگوئے
ایمرسن اسٹرنگ کوارٹٹ,امریکی
سینچک، ہیمنہ۔,ترکی
وائٹ پلینز,ریاستہائے متحدہ <OR> امریکی <OR> امریکہ
برگس جزیرہ,آسٹریلیا
ماسکو امپیریل بولشوی تھیٹر,روس
ایسٹ یارک ٹاؤن سینٹر,کینیڈا
آرتھر رینج,آسٹریلیا
ڈیرکوی، کویوک,ترکی
اکومک کاؤنٹی ہوائی اڈہ,ریاستہائے متحدہ
نکونیا,غنا
یورپی راستہ E571,سلوواکیہ
قاجار بارانی,فارسی <OR> ایران
