source,target
پرووانسال,فرانسیسی
ہند,انگریزی <OR> ہندی
فرانسیسی زبان میں ڈوبکی,فرانسیسی زبان <OR> فرانسیسی <OR> فرانسیسی زبان <OR> فرینکوفون <OR> فرینکوفون
اسٹرمسند میونسپلٹی,سویڈش
آرتھوڈوکس چرچ,بلغاریائی
شمالی اوسیٹیا-الانیا,اوسٹیٹ <OR> روسی <OR> اوسیتین
کُھمُوئین,فننش
اٹلی,اطالوی زبان <OR> اطالوی زبان <OR> معیاری اطالوی <OR> اطالوی زبان <OR> معیاری اطالوی <OR> اطالوی <OR> اطالوی بنایا ہوا <OR> قدیم اطالوی <OR> اطالوی بول چال <OR> اطالوی شکل میں
CL,ایس۔
کوسکی ٹی ایل,فننش
کینسوجاروی,فننش
ارجیپلوگ میونسپلٹی,سویڈش
لکسمبرگیش,لکسمبرگ <OR> فرانسیسی <OR> فرینکوفون
پاپوا بارات,انڈونیشیائی <OR> انڈونیشیا
امریکہ,انگریزی زبان <OR> انگریزی <OR> انگلیشائزڈ
نائجیریا,انگریزی
قدیم یونانی,البانیہ <OR> قبرص <OR> اٹلی <OR> یونان
پیرکالا,فن لینڈ
آرانیس,کاتالان
شمالی اٹلانٹک اتحاد,فرانسیسی
TH,تھائی
کوسووو,سرب <OR> صربی زبان <OR> سربیائی سیرلک <OR> شکپ <OR> البانی <OR> سربیائی <OR> البانی بولنے والا <OR> البانی زبان
اتحاد,انگریزی زبان <OR> انگریزی <OR> ڈچ <OR> انگلوفون
کیمیٹون,سویڈش <OR> فننش
جزائر کانریا,ہسپانوی
روانڈا,کینیاروانڈا <OR> روانڈا
نیو جرسی,انگریزی زبان <OR> انگریزی
ٹینینکوسکی,فننش
ویچی,فرانسیسی
نیوفاؤنڈ لینڈ,انگریزی زبان <OR> انگریزی
ڈچیز آف کلیوز,ڈچ
کراسنویا رسک کرائی,روسی
آسٹریا,DE <OR> جرمن <OR> جرمنک <OR> جرمن زبان <OR> جرمن زبان
عصری لوگ,ہسپانوی
یورپی خلائی ایجنسی (ایسا),انگریزی <OR> فرانسیسی
اخواندانی,ایلامی <OR> قدیم فارسی
بوریکن,ہسپانوی
یاکوتیا,روسی
ریباگورça,کاتالان
کالیمنتان تیمور,انڈونیشیائی <OR> انڈونیشیا
البانیہ,البانیائی لسانیات <OR> شکپ <OR> البانیائی <OR> البانی زبان <OR> البانی زبان بولنے والا <OR> البانی زبان
لیژ (صوبہ),والون <OR> فرانسیسی
ڈونیٹسک ریجن,یوکرینی <OR> روسی
کیوان روس۔,قدیم روسی <OR> مشرقی سلاوی <OR> قدیم مشرقی سلاوی
تیموریڈ,فارسی
پیلکانے,فن لینڈ
انڈونیشیا,بہاسا انڈونیشیا <OR> انڈونیشیائی <OR> انڈونیشیائی زبان <OR> انڈونیشیا
توہولمپی,فن لینڈ
مالتیسی,یورپی اتحاد <OR> مالٹا <OR> انگریزی <OR> مالتی جزائر <OR> مالتی جزائر <OR> یورپ <OR> ای یو <OR> مالتی جزائر
ہوائی,ہوائی زبان <OR> انگریزی <OR> ہوائی <OR> مقامی ہوائی
ایس ایم او ایم,لاطینی
لوگر صوبہ,دری
پوزیو,فن لینڈ
بازنطینی سلطنت,قرون وسطی کا یونانی <OR> قرون وسطی کا یونانی <OR> لاطینی
بنی مرغنین,امازigh
سابق سوویت ریاستیں,روسی زبان <OR> روسی
منسرک,فننش
چیکیا,چیک
انادیر,چکچی <OR> روسی
بازنطینی,قرون وسطی کا یونانی <OR> لاطینی
اورویسی,فننش
ادغیہ,ادغے زبان <OR> روسی <OR> ادغے <OR> چرکیشی
مارشلز,مارشلese
تیوا,تووان <OR> تووین <OR> تووا <OR> ٹیوان <OR> تُوونین <OR> روسی
راجستھان,معیاری ہندی <OR> ہندی <OR> ہندی <OR> ہندی زبان <OR> ہندی زبان
ملائی,انگریزی
انڈونیشیائی جزائر,انڈونیشیا
ڈچ زبان اتحاد,ڈچ <OR> ڈچ زبان
کیپ وردین,سلام
اولویلا,فننش
فورمینٹیرا,ہسپانوی <OR> کاتالان
جرمن بولنے والی کمیونٹی,جرمن بولنے والا <OR> جرمن زبان
راوتjärvi,فننش
چاڈ,فرانسیسی
بورگا,سویڈش <OR> سویڈش زبان <OR> فننش
ایس ایس آر,روسی
پولش قوم,پولش
عالمی اسپرانتو نوجوانوں کی تنظیم,ایسپرانتو
وینسینٹین,ہسپانوی
چیک جمہوریہ,چیک زبان <OR> چیک <OR> چیک زبان <OR> چیک زبان
سابق یوگوسلاویہ,صربی <OR> سربیائی سیرلک
پی ایچ,فلپینی
چیتا,روسی
میڈچی فلورنس,لاطینی
بایانو,پرتگالی
اچے,انڈونیشیائی <OR> انڈونیشیا <OR> اچی نیسی
ایس یو آئی,GER
یونانی زبان,قبرصی <OR> یونان <OR> قبرص <OR> یورپ
فلورینٹائن,لاطینی
بیلاروسی,روسیائی بنایا گیا <OR> روسی <OR> بیلاروسی زبان
یلیتورنیو,فننش
فلسطینی علاقے,ہیبرو
ابازہ,کراچائے-چرکیسیا <OR> کراچائے-چرکیس جمہوریہ <OR> کراچائے–چرکیس جمہوریہ
ایس سی,انگریزی
نیپالی ادب,نیپالی زبان <OR> نیپالی
یوگوسلاوی,سربو-کروشین <OR> صربی
تنزانیہ,سواحلی <OR> انگریزی زبان <OR> انگریزی <OR> سواحلی زبان <OR> سواحلی زبان <OR> سواحلی <OR> انگلوفون <OR> سواحلی
شمالی سوماترا,انڈونیشیائی <OR> انڈونیشیا
